waspbust_id,year_x,nest_foundDate,municip_name,species,nest_locType,nest_hight,nest_diameter,nest_longitude,nest_latitude,nest_status,nest_judgementDate,municip_code,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,month,year_offset,index,MMM,station_name,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind,year_cat,month_cat,population
1,2019,2019-07-06 00:00:00,Abadiño,Vespa Velutina,Urban Environment,0.0,1.0,"532124,0816","4777436,519",Nest Terminated,2019-06-15 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,Urkiola,0.0,93.1,0.927074632,0.416514529,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0,2019,Jul,7533.0
2,2019,2019-03-25 00:00:00,Abadiño,Vespa Velutina,Urban Environment,8.0,10.0,"531000,5783","4779715,773",Nest Terminated,2019-03-25 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,3,2018,1086.0,MAR,Urkiola,10.0,82.4,0.919007778,0.336061281,0.218926759,24.0,18.0,160.0,1.5,19.7,9.3,5.2,13.9,9.0,2.0,13.9,82.4,53.2,2019,Mar,7533.0
4,2019,2019-07-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,20.0,"532457,6901","4777072,989",Nest Terminated,2019-07-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,Urkiola,0.0,93.1,0.927074632,0.416514529,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0,2019,Jul,7533.0
5,2019,2019-06-08 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,30.0,"531388,7069","4777964,231",Nest Terminated,2019-06-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,6,2018,2313.0,JUN,Urkiola,0.0,91.1,0.905732904,0.371786921,0.198000609,20.0,14.0,82.2,6.7,14.0,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4,2019,Jun,7533.0
7,2019,2019-08-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,30.0,"531328,0271","4774608,062",Nest Terminated,2019-08-27 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,Urkiola,0.0,89.3,0.907256657,0.309321306,0.191946243,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8,2019,Aug,7533.0
8,2019,2019-09-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,2.0,10.0,"532071,9075","4777400,603",Nest Terminated,2019-09-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2018,3540.0,SET,Urkiola,0.0,87.4,0.817383387,0.306335255,0.204965362,9.0,6.0,38.1,1.9,13.6,15.5,16.0,28.9,21.8,11.9,6.5,60.5,27.8,2019,Sep,7533.0
9,2019,2019-10-21 00:00:00,Abadiño,Vespa Velutina,Natural Environment,0.0,30.0,"533791,3865","4778018,01",Nest Terminated,2019-10-22 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2018,3949.0,OCT,Urkiola,3.0,90.1,0.869863952,0.310643074,0.195187837,13.0,11.0,153.5,5.3,31.5,8.7,10.4,23.5,14.4,7.1,9.1,82.8,37.5,2019,Oct,7533.0
10,2019,2019-04-11 00:00:00,Abadiño,Vespa Velutina,Urban Environment,1.0,1.0,"531611,7723","4778186,07",Nest Terminated,2019-04-11 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,4,2018,1495.0,ABR,Urkiola,1.0,81.4,0.968420667,0.378629016,0.199770145,21.0,14.0,194.9,1.9,71.3,12.9,9.4,23.3,13.9,5.9,12.0,76.7,42.4,2019,Apr,7533.0
11,2018,2018-09-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,3.0,30.0,"531216,6956","4779313,656",Nest Terminated,2018-09-27 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
12,2018,2018-09-24 00:00:00,Abadiño,Vespa Velutina,Natural Environment,5.0,15.0,"531307,698","4774559,689",Nest Terminated,2018-09-24 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,Urkiola,0.0,88.6,0.910431623,0.328069798,0.201534399,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4,2018,Sep,7522.0
