CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,26
48002,Abanto y CiÃ©rvana-Abanto Zierbena,47
48003,Amorebieta-Etxano,79
48004,Amoroto,14
48005,Arakaldo,20
48006,Arantzazu,20
48007,Munitibar-Arbatzegi Gerrikaitz,20
48008,Artzentales,15
48009,Arrankudiaga,16
48010,Arrieta,22
48011,Arrigorriaga,32
48012,Bakio,44
48013,Barakaldo,56
48014,Barrika,29
48015,Basauri,64
48016,Berango,36
48017,Bermeo,48
48018,Berriatua,31
48019,Berriz,29
48021,Busturia,82
48022,Karrantza Harana/Valle de Carranza,34
48023,Artea,39
48024,Zeanuri,34
48025,Zeberio,29
48026,Dima,31
48027,Durango,30
48028,Ea,28
48029,Etxebarri,16
48030,Etxebarria,19
48031,Elantxobe,14
48032,Elorrio,39
48033,EreÃ±o,18
48034,Ermua,34
48035,Fruiz,16
48036,Galdakao,93
48037,Galdames,31
48038,Gamiz-Fika,22
48039,Garai,24
48040,Gatika,34
48041,Gautegiz Arteaga,26
48042,Gordexola,71
48043,Gorliz,29
48044,Getxo,77
48045,GÃ¼eÃ±es,35
48046,Gernika-Lumo,26
48047,Gizaburuaga,14
48048,Ibarrangelu,24
48049,Ispaster,42
48050,Izurtza,17
48051,Lanestosa,19
48052,Larrabetzu,43
48053,Laukiz,31
48054,Leioa,45
48055,Lemoa,24
48056,Lemoiz,28
48057,Lekeitio,29
48058,Mallabia,19
48059,MaÃ±aria,14
48060,Markina-Xemein,22
48061,Maruri-Jatabe,49
48062,Mendata,26
48063,Mendexa,25
48064,MeÃ±aka,36
48065,Ugao-Miraballes,20
48066,Morga,20
48067,Muxika,42
48068,Mundaka,21
48069,Mungia,134
48070,Aulesti,26
48071,Muskiz,23
48072,Otxandio,19
48073,Ondarroa,27
48074,UrduÃ±a/OrduÃ±a,38
48075,Orozko,41
48076,Sukarrieta,29
48077,Plentzia,36
48078,Portugalete,12
48079,Errigoiti,26
48080,Valle de TrÃ¡paga-Trapagaran,28
48081,Lezama,53
48082,Santurtzi,20
48083,Ortuella,45
48084,Sestao,26
48085,Sopela,32
48086,Sopuerta,103
48087,Trucios-Turtzioz,36
48088,Ubide,14
48089,Urduliz,44
48090,Balmaseda,15
48091,Atxondo,21
48092,Bedia,25
48093,Areatza,18
48094,Igorre,33
48095,Zaldibar,18
48096,Zalla,50
48097,Zaratamo,64
48901,Derio,32
48902,Erandio,49
48903,Loiu,53
48904,Sondika,26
48905,Zamudio,34
48906,Forua,17
48907,Kortezubi,30
48908,Murueta,14
48909,Nabarniz,22
48910,Iurreta,28
48911,Ajangiz,25
48912,Alonsotegi,39
48913,Zierbena,28
48914,Arratzu,25
48915,Ziortza-Bolibar,25
48020,Bilbao,0
