CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,34
48002,Abanto y CiÃ©rvana-Abanto Zierbena,48
48003,Amorebieta-Etxano,72
48004,Amoroto,7
48005,Arakaldo,9
48006,Arantzazu,8
48007,Munitibar-Arbatzegi Gerrikaitz,9
48008,Artzentales,26
48009,Arrankudiaga,36
48010,Arrieta,12
48011,Arrigorriaga,30
48012,Bakio,68
48013,Barakaldo,103
48014,Barrika,26
48015,Basauri,27
48016,Berango,41
48017,Bermeo,57
48018,Berriatua,20
48019,Berriz,34
48021,Busturia,32
48022,Karrantza Harana/Valle de Carranza,70
48023,Artea,17
48024,Zeanuri,28
48025,Zeberio,24
48026,Dima,19
48027,Durango,90
48028,Ea,15
48029,Etxebarri,34
48030,Etxebarria,11
48031,Elantxobe,7
48032,Elorrio,28
48033,EreÃ±o,7
48034,Ermua,18
48035,Fruiz,9
48036,Galdakao,100
48037,Galdames,25
48038,Gamiz-Fika,28
48039,Garai,8
48040,Gatika,25
48041,Gautegiz Arteaga,14
48042,Gordexola,43
48043,Gorliz,26
48044,Getxo,86
48045,GÃ¼eÃ±es,53
48046,Gernika-Lumo,30
48047,Gizaburuaga,9
48048,Ibarrangelu,11
48049,Ispaster,29
48050,Izurtza,21
48051,Lanestosa,16
48052,Larrabetzu,44
48053,Laukiz,14
48054,Leioa,91
48055,Lemoa,29
48056,Lemoiz,8
48057,Lekeitio,25
48058,Mallabia,17
48059,MaÃ±aria,10
48060,Markina-Xemein,25
48061,Maruri-Jatabe,24
48062,Mendata,9
48063,Mendexa,15
48064,MeÃ±aka,19
48065,Ugao-Miraballes,22
48066,Morga,11
48067,Muxika,34
48068,Mundaka,21
48069,Mungia,94
48070,Aulesti,11
48071,Muskiz,26
48072,Otxandio,12
48073,Ondarroa,29
48074,UrduÃ±a/OrduÃ±a,34
48075,Orozko,27
48076,Sukarrieta,11
48077,Plentzia,13
48078,Portugalete,48
48079,Errigoiti,10
48080,Valle de TrÃ¡paga-Trapagaran,29
48081,Lezama,51
48082,Santurtzi,32
48083,Ortuella,30
48084,Sestao,50
48085,Sopela,38
48086,Sopuerta,65
48087,Trucios-Turtzioz,12
48088,Ubide,6
48089,Urduliz,37
48090,Balmaseda,37
48091,Atxondo,15
48092,Bedia,19
48093,Areatza,18
48094,Igorre,21
48095,Zaldibar,14
48096,Zalla,55
48097,Zaratamo,24
48901,Derio,32
48902,Erandio,85
48903,Loiu,34
48904,Sondika,23
48905,Zamudio,42
48906,Forua,9
48907,Kortezubi,10
48908,Murueta,7
48909,Nabarniz,7
48910,Iurreta,28
48911,Ajangiz,11
48912,Alonsotegi,25
48913,Zierbena,24
48914,Arratzu,8
48915,Ziortza-Bolibar,8
48020,Bilbao,0
