CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,32.0
48002,Abanto y CiÃ©rvana-Abanto Zierbena,47.0
48003,Amorebieta-Etxano,76.0
48004,Amoroto,22.0
48005,Arakaldo,13.0
48006,Arantzazu,20.0
48007,Munitibar-Arbatzegi Gerrikaitz,18.0
48008,Artzentales,23.0
48009,Arrankudiaga,30.0
48010,Arrieta,20.0
48011,Arrigorriaga,27.0
48012,Bakio,44.0
48013,Barakaldo,24.0
48014,Barrika,28.0
48015,Basauri,33.0
48016,Berango,39.0
48017,Bermeo,46.0
48018,Berriatua,23.0
48019,Berriz,36.0
48021,Busturia,72.0
48022,Karrantza Harana/Valle de Carranza,50.0
48023,Artea,23.0
48024,Zeanuri,31.0
48025,Zeberio,24.0
48026,Dima,30.0
48027,Durango,46.0
48028,Ea,21.0
48029,Etxebarri,22.0
48030,Etxebarria,21.0
48031,Elantxobe,15.0
48032,Elorrio,41.0
48033,EreÃ±o,16.0
48034,Ermua,39.0
48035,Fruiz,21.0
48036,Galdakao,89.0
48037,Galdames,38.0
48038,Gamiz-Fika,21.0
48039,Garai,24.0
48040,Gatika,37.0
48041,Gautegiz Arteaga,18.0
48042,Gordexola,54.0
48043,Gorliz,38.0
48044,Getxo,72.0
48045,GÃ¼eÃ±es,38.0
48046,Gernika-Lumo,27.0
48047,Gizaburuaga,25.0
48048,Ibarrangelu,19.0
48049,Ispaster,43.0
48050,Izurtza,21.0
48051,Lanestosa,21.0
48052,Larrabetzu,38.0
48053,Laukiz,24.0
48054,Leioa,23.0
48055,Lemoa,29.0
48056,Lemoiz,21.0
48057,Lekeitio,34.0
48058,Mallabia,33.0
48059,MaÃ±aria,14.0
48060,Markina-Xemein,29.0
48061,Maruri-Jatabe,53.0
48062,Mendata,28.0
48063,Mendexa,26.0
48064,MeÃ±aka,42.0
48065,Ugao-Miraballes,14.0
48066,Morga,23.0
48067,Muxika,16.0
48068,Mundaka,29.0
48069,Mungia,146.0
48070,Aulesti,24.0
48071,Muskiz,34.0
48072,Otxandio,20.0
48073,Ondarroa,24.0
48074,UrduÃ±a/OrduÃ±a,37.0
48075,Orozko,21.0
48076,Sukarrieta,28.0
48077,Plentzia,33.0
48078,Portugalete,12.0
48079,Errigoiti,25.0
48080,Valle de TrÃ¡paga-Trapagaran,30.0
48081,Lezama,37.0
48082,Santurtzi,26.0
48083,Ortuella,61.0
48084,Sestao,17.0
48085,Sopela,29.0
48086,Sopuerta,90.0
48087,Trucios-Turtzioz,27.0
48088,Ubide,16.0
48089,Urduliz,41.0
48090,Balmaseda,18.0
48091,Atxondo,33.0
48092,Bedia,24.0
48093,Areatza,11.0
48094,Igorre,27.0
48095,Zaldibar,45.0
48096,Zalla,48.0
48097,Zaratamo,33.0
48901,Derio,42.0
48902,Erandio,40.0
48903,Loiu,47.0
48904,Sondika,35.0
48905,Zamudio,33.0
48906,Forua,21.0
48907,Kortezubi,25.0
48908,Murueta,16.0
48909,Nabarniz,18.0
48910,Iurreta,34.0
48911,Ajangiz,20.0
48912,Alonsotegi,31.0
48913,Zierbena,26.0
48914,Arratzu,22.0
48915,Ziortza-Bolibar,24.0
48020,Bilbao,0.0
