CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,22.0
48002,Abanto y CiÃ©rvana-Abanto Zierbena,55.0
48911,Ajangiz,11.0
48912,Alonsotegi,19.0
48003,Amorebieta-Etxano,84.0
48004,Amoroto,15.0
48005,Arakaldo,2.0
48006,Arantzazu,8.0
48093,Areatza,17.0
48009,Arrankudiaga,24.0
48914,Arratzu,10.0
48010,Arrieta,12.0
48011,Arrigorriaga,40.0
48023,Artea,27.0
48008,Artzentales,30.0
48091,Atxondo,16.0
48070,Aulesti,16.0
48012,Bakio,31.0
48090,Balmaseda,19.0
48013,Barakaldo,77.0
48014,Barrika,16.0
48015,Basauri,28.0
48092,Bedia,20.0
48016,Berango,36.0
48017,Bermeo,43.0
48018,Berriatua,20.0
48019,Berriz,37.0
48021,Busturia,51.0
48901,Derio,30.0
48026,Dima,17.0
48027,Durango,20.0
48028,Ea,18.0
48031,Elantxobe,8.0
48032,Elorrio,23.0
48902,Erandio,107.0
48033,EreÃ±o,7.0
48034,Ermua,17.0
48079,Errigoiti,9.0
48029,Etxebarri,27.0
48030,Etxebarria,13.0
48906,Forua,8.0
48035,Fruiz,6.0
48036,Galdakao,123.0
48037,Galdames,28.0
48038,Gamiz-Fika,13.0
48039,Garai,7.0
48040,Gatika,32.0
48041,Gautegiz Arteaga,16.0
48046,Gernika-Lumo,18.0
48044,Getxo,74.0
48047,Gizaburuaga,24.0
48042,Gordexola,30.0
48043,Gorliz,32.0
48045,GÃ¼eÃ±es,31.0
48048,Ibarrangelu,11.0
48094,Igorre,21.0
48049,Ispaster,47.0
48910,Iurreta,25.0
48050,Izurtza,6.0
48022,Karrantza Harana/Valle de Carranza,20.0
48907,Kortezubi,4.0
48052,Larrabetzu,30.0
48053,Laukiz,17.0
48054,Leioa,116.0
48057,Lekeitio,28.0
48055,Lemoa,27.0
48056,Lemoiz,6.0
48081,Lezama,49.0
48903,Loiu,49.0
48058,Mallabia,8.0
48060,Markina-Xemein,17.0
48061,Maruri-Jatabe,25.0
48059,MaÃ±aria,4.0
48062,Mendata,11.0
48063,Mendexa,13.0
48064,MeÃ±aka,19.0
48066,Morga,10.0
48068,Mundaka,19.0
48069,Mungia,121.0
48007,Munitibar-Arbatzegi Gerrikaitz,11.0
48908,Murueta,8.0
48071,Muskiz,24.0
48067,Muxika,32.0
48909,Nabarniz,8.0
48073,Ondarroa,40.0
48075,Orozko,22.0
48083,Ortuella,31.0
48072,Otxandio,8.0
48077,Plentzia,14.0
48078,Portugalete,19.0
48082,Santurtzi,28.0
48084,Sestao,10.0
48904,Sondika,24.0
48085,Sopela,32.0
48086,Sopuerta,78.0
48076,Sukarrieta,23.0
48087,Trucios-Turtzioz,15.0
48088,Ubide,-1.0
48065,Ugao-Miraballes,23.0
48089,Urduliz,24.0
48074,UrduÃ±a/OrduÃ±a,26.0
48080,Valle de TrÃ¡paga-Trapagaran,36.0
48095,Zaldibar,11.0
48096,Zalla,44.0
48905,Zamudio,37.0
48097,Zaratamo,20.0
48024,Zeanuri,23.0
48025,Zeberio,31.0
48913,Zierbena,12.0
48915,Ziortza-Bolibar,6.0
48051,Lanestosa,8.0
