,ESPEZIE/ESPECIE
0,AVISPA ASIÁTICA
1,AVISPA ASIÁTICA
2,AVISPA COMÚN
3,AVISPA ASIÁTICA
4,AVISPA ASIÁTICA
5,AVISPA COMÚN
6,AVISPA ASIÁTICA
7,AVISPA ASIÁTICA
8,AVISPA ASIÁTICA
9,AVISPA ASIÁTICA
10,AVISPA ASIÁTICA
11,AVISPA ASIÁTICA
12,AVISPA ASIÁTICA
13,AVISPA COMÚN
14,AVISPA ASIÁTICA
15,AVISPA ASIÁTICA
16,AVISPA ASIÁTICA
17,ABEJA
18,AVISPA ASIÁTICA
19,AVISPA ASIÁTICA
20,AVISPA ASIÁTICA
21,AVISPA ASIÁTICA
22,ABEJA
23,AVISPA ASIÁTICA
24,AVISPA ASIÁTICA
25,AVISPA ASIÁTICA
26,AVISPA COMÚN
27,AVISPA ASIÁTICA
28,AVISPA ASIÁTICA
29,AVISPA ASIÁTICA
30,AVISPA ASIÁTICA
31,AVISPA ASIÁTICA
32,AVISPA ASIÁTICA
33,AVISPA ASIÁTICA
34,AVISPA ASIÁTICA
35,AVISPA ASIÁTICA
36,AVISPA ASIÁTICA
37,AVISPA ASIÁTICA
38,AVISPA ASIÁTICA
39,AVISPA ASIÁTICA
40,AVISPA ASIÁTICA
41,AVISPA ASIÁTICA
42,AVISPA ASIÁTICA
43,AVISPA ASIÁTICA
44,AVISPA ASIÁTICA
45,AVISPA ASIÁTICA
46,AVISPA ASIÁTICA
47,AVISPA ASIÁTICA
48,AVISPA ASIÁTICA
49,AVISPA ASIÁTICA
50,AVISPA ASIÁTICA
51,AVISPA ASIÁTICA
52,AVISPA ASIÁTICA
53,AVISPA ASIÁTICA
54,AVISPA ASIÁTICA
55,AVISPA ASIÁTICA
56,AVISPA ASIÁTICA
57,AVISPA ASIÁTICA
58,AVISPA ASIÁTICA
59,AVISPA ASIÁTICA
60,AVISPA ASIÁTICA
61,AVISPA ASIÁTICA
62,AVISPA ASIÁTICA
63,AVISPA ASIÁTICA
64,AVISPA ASIÁTICA
65,AVISPA ASIÁTICA
66,AVISPA ASIÁTICA
67,AVISPA ASIÁTICA
68,AVISPA ASIÁTICA
69,AVISPA ASIÁTICA
70,AVISPA ASIÁTICA
71,AVISPA ASIÁTICA
72,AVISPA ASIÁTICA
73,AVISPA ASIÁTICA
74,AVISPA ASIÁTICA
