,HELBIDEA/DIRECCION
0,OLALDE
1,MCDONALD'S ABADIÑO
2,GEREDIAGA AUZOA 2  
3,MUNTSARATZ Nº 19 A
4,ARRANKURRI KALEA 58  
5,ASTOLA 66
6,SAGASTA
7,OLALDE KALEA 6  
8,GAZTELUA
9,ABADIÑOBEASKOA KALEA 8  
10,ARZUBIA 16 ABADIÑO
11,SAGASTA AUZOA 6 ABADIÑO
12,ASTOLA 64 A
13,MENDIOLA 10B ABADIÑO
14,SAGASTA 6 ABADIÑO
15,OLALDE Nº4-3ºA ABADIÑO
16,BARRIO ARTA SN
17,KAMIÑOPEA 6-5º IZD ABADIÑO
18,MUNTSARATZ 45 ABADIÑO
19,ABADIÑO LEBARIO 6 ABADIÑO BIZKAIA
20,MUNTSARATS 60
21,MUNTSARATZ 8
22,"TRAÑABARREN HIRIBIDEA, 33"
23,AL LADO DE TORREBURU Nº10
24,ARLOZABAL
25,GEREDIAGA1 BAJO
26,BI-3341 11  
27,GEREDIAGA 17
28,   
29,IRAZOLA Nº7
30,MUNTSARATZ Nº 22
31,ASTOLA Nº1
32,GEREDIAGA  Nº2
33,IRAZOLA AUZOA 7  
34,N-636 18  
35,LEKUA BARRIO MUNTSARATZ 36C  
36,MURUETA Nº8
37,GAZTELUA Nº12
38,GAZTELUA AUZOA 10  
39,GEREDIAGA 1 BAJO
40,GAZTELUA 12 ABADIÑO
41,SOLOZABAL 1 ABADIÑO
42,ASTOLA ABADIÑO
43,ASTOLA 2 ABADIÑO
44,MUNTSARATZ 46 ABADIÑO
45,MUNTSARATZ 22 ABADIÑO
46,ABADIÑOBEASKOA 8 ABADIÑO
47,ARZUBIA 16 ABADIÑO
48,ASTOLA 64 ABADIÑO
49,MUNTXARAZ 22
50,GAZTELUA 34 ABADIÑO
51,GAZTELUA AUZOA 15 (48220)
52,ETXEAZPIA 2
53,ARRANKURRI 41
54,MENDIOLA 12
55,MENDIOLA AUZOA 60
56,MUNTSARATZ OLA ABADIÑO
57,MENDIOLA AUZOA 12
58,ARRANKURRI 56 ABADIÑO
59,MUNTXARAT 7
60,ALFREDO BAESCHLIN 30 ABADIÑO
61,OLALDE 4-3º A ABADIÑO
62,EREZENA 7-2º B-DCH ABADIÑO
63,ALFREDO BAESCHLIN 16 ABADIÑO
64,TORREBURU 2 ABADIÑO
65,ARZUBIA 3 ABADIÑO
66,GAZTELUA 20 ABADIÑO
67,"LAUBIDETA KALEA, 14"
68,ASTOLA 33 ABADIÑO
69,"ASTOLA AUZOA, 56, ABADIÑO, ESPAÑA"
70,MUNTSARATZ 8
71,TORREBURU N3B
72,Bº GEREDIAGA Nº 15
73,"GEREDIAGA AUZOA, 2"
74,"MUNTSARATZ AUZOA, 10, MUNTSARATZ, ESPAÑA"
75,MENDIOLA AUZOA
76,"ARRANKURRI KALEA, 50"
77,"ASTOLA AUZOA, 46"
78,LAUBIDETA 10 5DERECHA
79,PIERBURG SA
80,"ARRANKURRI KALEA, 12"
81,MENDIOLA AUZOA 25
82,BO GAZTELUA 16
83,CL LAUBIDETA 10
84, 
85,BO MUNTSARATZ 19
86,BO SAGASTA 12
87,CL OLALDE 2
88,BO GAZTELUA 21
89,COTARRO AUZOA 49  
90,EL CAMPILLO AUZOA 85  
91,EUSKO GUDARIAK PLAZA 2  
92,SANFUENTES AUZOA 87  
93,EL CERRO S/N
94,LUGAR BARRIO COTARRO 11 (48500)
95,COTARRO AUZOA
96,NUEVA AVENIDA 3
97,MONTELLANO Nº30
98,ABANTO LA HERA
99,BARRIO LOREDO 30
100,LUGAR BARRIO LA BALASTERA 1D  
101,"CALLE ASKARZA ISUSI, 8"
102,CARRETERA DE CIRCUNVALACION
103,COTARRO 
104,RESIDENCIAL ATXIGA 29-30
105,EL MINERO HIRIBIDEA
106,URBANIZACION MONTELLANO Nº 21-A
107,C/. EL CERRO 
108,AVENIDA EL MINERO Nº 34
109,AV. LOS CHOPOS Nº 87
110,"BARRIO COTORRIO AUZOA, 7"
111,"MONTELLANO URBANIZAZIOA, 14"
112,AVENIDA EL MINERO 62
113,AVENIDA EL MINERO 62D
114,EL MINERO HIRIBIDEA 62C  
115,TRASERA DE NÚMEROS 5 Y 7 DEL BARRIO ABANTO
116, URBANIZACION MONTELLANO 14
117,BUENOS AIRES AUZOA 2  
118,GRUPO EL MINERO
119,"LA FLORIDA AUZOA, 4"
120,LA FLORIDA 4
121,COTORRIO AUZOA 62
122,ITURRIMAUR
123,MURRIETA 15
124,ABANTO AUZOA 7  
125,LAS CORTES 2
126,MURRIETA 15C 
127,COTARRO 38F
128,ESTACION DE SERVICIO UGALDEBIETA
129,AVENIDA EL MINERO 62C
130,ARTEKALE Nº40
131,LUGAR BARRIO COTARRO 64E  
132,CALLE ANTONIO TRUEBA KALEA 2  
133,MADARIAGA AUZOA 45B GOIKOETXE
134,TIRO CON ARCO
135,"AVENIDA EL MINERO 62C, 1ºB"
136,LUGAR BARRIO LA BALASTERA 36B  
137,"BARRIO LAS CALIZAS Nº9, ABANTO ZIERBENA"
138,ALCADE JUAN DE SANFUENTES 15
139,"BARRIO RUBIAS, 11"
140,FEDERICO VALBUENA
141,COTORRIO 59
142,BARRIO CAMPILLO 2
143,BARRIO LOS CASTAÑOS
144,BO LA TRINIDAD 1
