CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,19.0
48005,Arakaldo,20.0
48006,Arantzazu,25.0
48009,Arrankudiaga,27.0
48011,Arrigorriaga,27.0
48012,Bakio,37.0
48014,Barrika,23.0
48016,Berango,34.0
48017,Bermeo,55.0
48018,Berriatua,29.0
48019,Berriz,36.0
48021,Busturia,39.0
48023,Artea,26.0
48024,Zeanuri,35.0
48025,Zeberio,35.0
48026,Dima,34.0
48029,Etxebarri,22.0
48032,Elorrio,37.0
48034,Ermua,31.0
48037,Galdames,26.0
48038,Gamiz-Fika,36.0
48040,Gatika,42.0
48041,Gautegiz Arteaga,41.0
48043,Gorliz,28.0
48045,GÃ¼eÃ±es,37.0
48046,Gernika-Lumo,25.0
48047,Gizaburuaga,23.0
48048,Ibarrangelu,31.0
48050,Izurtza,21.0
48052,Larrabetzu,38.0
48053,Laukiz,43.0
48055,Lemoa,23.0
48056,Lemoiz,24.0
48057,Lekeitio,29.0
48058,Mallabia,29.0
48059,MaÃ±aria,21.0
48060,Markina-Xemein,25.0
48062,Mendata,25.0
48065,Ugao-Miraballes,29.0
48067,Muxika,42.0
48068,Mundaka,27.0
48069,Mungia,137.0
48072,Otxandio,25.0
48073,Ondarroa,28.0
48075,Orozko,43.0
48077,Plentzia,28.0
48078,Portugalete,19.0
48080,Valle de TrÃ¡paga-Trapagaran,21.0
48081,Lezama,33.0
48082,Santurtzi,17.0
48084,Sestao,19.0
48085,Sopela,28.0
48089,Urduliz,32.0
48090,Balmaseda,24.0
48091,Atxondo,34.0
48092,Bedia,22.0
48093,Areatza,27.0
48094,Igorre,30.0
48095,Zaldibar,22.0
48097,Zaratamo,29.0
48901,Derio,26.0
48904,Sondika,27.0
48905,Zamudio,38.0
48907,Kortezubi,45.0
48908,Murueta,29.0
48909,Nabarniz,35.0
48910,Iurreta,30.0
48911,Ajangiz,25.0
48912,Alonsotegi,28.0
48913,Zierbena,23.0
48914,Arratzu,40.0
48002,Abanto y CiÃ©rvana-Abanto Zierbena,51.0
48003,Amorebieta-Etxano,56.0
48013,Barakaldo,49.0
48015,Basauri,48.0
48027,Durango,38.0
48036,Galdakao,87.0
48042,Gordexola,39.0
48044,Getxo,55.0
48054,Leioa,44.0
48083,Ortuella,37.0
48086,Sopuerta,55.0
48096,Zalla,50.0
48902,Erandio,48.0
48903,Loiu,39.0
48007,Munitibar-Arbatzegi Gerrikaitz,21.0
48010,Arrieta,24.0
48030,Etxebarria,17.0
48031,Elantxobe,25.0
48033,EreÃ±o,24.0
48039,Garai,23.0
48049,Ispaster,24.0
48061,Maruri-Jatabe,39.0
48063,Mendexa,21.0
48064,MeÃ±aka,31.0
48070,Aulesti,23.0
48004,Amoroto,20.0
48008,Artzentales,20.0
48028,Ea,24.0
48035,Fruiz,19.0
48066,Morga,19.0
48076,Sukarrieta,19.0
48079,Errigoiti,19.0
48087,Trucios-Turtzioz,20.0
48906,Forua,24.0
48915,Ziortza-Bolibar,21.0
48020,Bilbao,0.0
48022,Karrantza Harana/Valle de Carranza,1.0
48071,Muskiz,0.0
48088,Ubide,0.0
48074,UrduÃ±a/OrduÃ±a,1.0
48051,Lanestosa,1.0
