CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,14.0
48002,Abanto y CiÃ©rvana-Abanto Zierbena,77.0
48003,Amorebieta-Etxano,44.0
48004,Amoroto,10.0
48005,Arakaldo,14.0
48006,Arantzazu,9.0
48007,Munitibar-Arbatzegi Gerrikaitz,17.0
48008,Artzentales,16.0
48009,Arrankudiaga,17.0
48010,Arrieta,18.0
48011,Arrigorriaga,16.0
48012,Bakio,36.0
48013,Barakaldo,23.0
48014,Barrika,29.0
48015,Basauri,56.0
48016,Berango,31.0
48017,Bermeo,42.0
48018,Berriatua,26.0
48019,Berriz,33.0
48021,Busturia,29.0
48023,Artea,22.0
48024,Zeanuri,29.0
48025,Zeberio,27.0
48026,Dima,29.0
48027,Durango,27.0
48028,Ea,19.0
48029,Etxebarri,17.0
48030,Etxebarria,14.0
48031,Elantxobe,14.0
48032,Elorrio,28.0
48033,EreÃ±o,14.0
48034,Ermua,31.0
48035,Fruiz,22.0
48036,Galdakao,93.0
48037,Galdames,29.0
48038,Gamiz-Fika,27.0
48039,Garai,23.0
48040,Gatika,32.0
48041,Gautegiz Arteaga,26.0
48042,Gordexola,33.0
48043,Gorliz,34.0
48044,Getxo,32.0
48045,GÃ¼eÃ±es,22.0
48046,Gernika-Lumo,22.0
48047,Gizaburuaga,22.0
48048,Ibarrangelu,18.0
48049,Ispaster,19.0
48050,Izurtza,19.0
48052,Larrabetzu,26.0
48053,Laukiz,26.0
48054,Leioa,26.0
48055,Lemoa,24.0
48056,Lemoiz,19.0
48057,Lekeitio,22.0
48058,Mallabia,30.0
48059,MaÃ±aria,13.0
48060,Markina-Xemein,21.0
48061,Maruri-Jatabe,41.0
48062,Mendata,16.0
48063,Mendexa,13.0
48064,MeÃ±aka,27.0
48065,Ugao-Miraballes,10.0
48066,Morga,29.0
48067,Muxika,27.0
48068,Mundaka,30.0
48069,Mungia,130.0
48070,Aulesti,14.0
48072,Otxandio,15.0
48073,Ondarroa,22.0
48075,Orozko,24.0
48076,Sukarrieta,30.0
48077,Plentzia,26.0
48078,Portugalete,12.0
48079,Errigoiti,14.0
48080,Valle de TrÃ¡paga-Trapagaran,28.0
48081,Lezama,30.0
48082,Santurtzi,20.0
48083,Ortuella,76.0
48084,Sestao,12.0
48085,Sopela,32.0
48086,Sopuerta,48.0
48087,Trucios-Turtzioz,20.0
48089,Urduliz,29.0
48090,Balmaseda,18.0
48091,Atxondo,29.0
48092,Bedia,25.0
48093,Areatza,25.0
48094,Igorre,25.0
48095,Zaldibar,24.0
48096,Zalla,44.0
48097,Zaratamo,11.0
48901,Derio,24.0
48902,Erandio,33.0
48903,Loiu,38.0
48904,Sondika,27.0
48905,Zamudio,32.0
48906,Forua,21.0
48907,Kortezubi,23.0
48908,Murueta,12.0
48909,Nabarniz,29.0
48910,Iurreta,26.0
48911,Ajangiz,23.0
48912,Alonsotegi,25.0
48913,Zierbena,26.0
48914,Arratzu,16.0
48915,Ziortza-Bolibar,34.0
48022,Karrantza Harana/Valle de Carranza,0.0
48071,Muskiz,0.0
48088,Ubide,0.0
48074,Urduña/Orduña,0.0
48051,Lanestosa,0.0
48020,Bilbao,0.0
