CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,37.0
48002,Abanto y CiÃ©rvana-Abanto Zierbena,92.0
48911,Ajangiz,19.0
48912,Alonsotegi,26.0
48003,Amorebieta-Etxano,79.0
48004,Amoroto,6.0
48005,Arakaldo,16.0
48006,Arantzazu,5.0
48093,Areatza,11.0
48009,Arrankudiaga,17.0
48914,Arratzu,15.0
48010,Arrieta,13.0
48011,Arrigorriaga,18.0
48023,Artea,15.0
48008,Artzentales,10.0
48091,Atxondo,19.0
48070,Aulesti,11.0
48012,Bakio,38.0
48090,Balmaseda,4.0
48013,Barakaldo,80.0
48014,Barrika,12.0
48015,Basauri,92.0
48092,Bedia,11.0
48016,Berango,36.0
48017,Bermeo,45.0
48018,Berriatua,22.0
48019,Berriz,35.0
48021,Busturia,55.0
48901,Derio,53.0
48026,Dima,19.0
48027,Durango,19.0
48028,Ea,14.0
48031,Elantxobe,3.0
48032,Elorrio,29.0
48902,Erandio,49.0
48033,EreÃ±o,8.0
48034,Ermua,30.0
48079,Errigoiti,10.0
48029,Etxebarri,23.0
48030,Etxebarria,8.0
48906,Forua,4.0
48035,Fruiz,8.0
48036,Galdakao,95.0
48037,Galdames,30.0
48038,Gamiz-Fika,17.0
48039,Garai,4.0
48040,Gatika,46.0
48041,Gautegiz Arteaga,25.0
48046,Gernika-Lumo,14.0
48044,Getxo,102.0
48047,Gizaburuaga,9.0
48042,Gordexola,39.0
48043,Gorliz,25.0
48045,GÃ¼eÃ±es,39.0
48048,Ibarrangelu,14.0
48094,Igorre,26.0
48049,Ispaster,18.0
48910,Iurreta,30.0
48050,Izurtza,16.0
48907,Kortezubi,10.0
48052,Larrabetzu,35.0
48053,Laukiz,14.0
48054,Leioa,45.0
48057,Lekeitio,23.0
48055,Lemoa,22.0
48056,Lemoiz,15.0
48081,Lezama,50.0
48903,Loiu,61.0
48058,Mallabia,9.0
48060,Markina-Xemein,16.0
48061,Maruri-Jatabe,33.0
48059,MaÃ±aria,16.0
48062,Mendata,16.0
48063,Mendexa,11.0
48064,MeÃ±aka,21.0
48066,Morga,6.0
48068,Mundaka,12.0
48069,Mungia,121.0
48007,Munitibar-Arbatzegi Gerrikaitz,15.0
48908,Murueta,9.0
48067,Muxika,38.0
48909,Nabarniz,11.0
48073,Ondarroa,22.0
48075,Orozko,32.0
48083,Ortuella,102.0
48072,Otxandio,14.0
48077,Plentzia,22.0
48078,Portugalete,15.0
48082,Santurtzi,17.0
48084,Sestao,13.0
48904,Sondika,25.0
48085,Sopela,32.0
48086,Sopuerta,99.0
48076,Sukarrieta,12.0
48087,Trucios-Turtzioz,10.0
48065,Ugao-Miraballes,10.0
48089,Urduliz,26.0
48080,Valle de TrÃ¡paga-Trapagaran,23.0
48095,Zaldibar,32.0
48096,Zalla,33.0
48905,Zamudio,40.0
48097,Zaratamo,21.0
48024,Zeanuri,21.0
48025,Zeberio,21.0
48913,Zierbena,13.0
48915,Ziortza-Bolibar,5.0
48022,Karrantza Harana/Valle de Carranza,0.0
48071,Muskiz,0.0
48088,Ubide,0.0
48074,Urduña/Orduña,0.0
48051,Lanestosa,0.0
48020,Bilbao,0.0
