CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,AbadiÃ±o,35.0
48002,Abanto y CiÃ©rvana-Abanto Zierbena,86.0
48003,Amorebieta-Etxano,62.0
48004,Amoroto,11.0
48005,Arakaldo,18.0
48006,Arantzazu,28.0
48007,Munitibar-Arbatzegi Gerrikaitz,25.0
48008,Artzentales,27.0
48009,Arrankudiaga,17.0
48010,Arrieta,21.0
48011,Arrigorriaga,18.0
48012,Bakio,42.0
48013,Barakaldo,48.0
48014,Barrika,30.0
48015,Basauri,52.0
48016,Berango,44.0
48017,Bermeo,48.0
48018,Berriatua,27.0
48019,Berriz,34.0
48021,Busturia,79.0
48023,Artea,23.0
48024,Zeanuri,26.0
48025,Zeberio,23.0
48026,Dima,34.0
48027,Durango,68.0
48028,Ea,21.0
48029,Etxebarri,23.0
48030,Etxebarria,15.0
48031,Elantxobe,19.0
48032,Elorrio,36.0
48033,EreÃ±o,15.0
48034,Ermua,32.0
48035,Fruiz,15.0
48036,Galdakao,97.0
48037,Galdames,34.0
48038,Gamiz-Fika,23.0
48039,Garai,17.0
48040,Gatika,43.0
48041,Gautegiz Arteaga,33.0
48042,Gordexola,57.0
48043,Gorliz,34.0
48044,Getxo,57.0
48045,GÃ¼eÃ±es,36.0
48046,Gernika-Lumo,26.0
48047,Gizaburuaga,18.0
48048,Ibarrangelu,20.0
48049,Ispaster,34.0
48050,Izurtza,17.0
48052,Larrabetzu,31.0
48053,Laukiz,27.0
48054,Leioa,56.0
48055,Lemoa,23.0
48056,Lemoiz,26.0
48057,Lekeitio,22.0
48058,Mallabia,31.0
48059,MaÃ±aria,14.0
48060,Markina-Xemein,30.0
48061,Maruri-Jatabe,46.0
48062,Mendata,25.0
48063,Mendexa,20.0
48064,MeÃ±aka,45.0
48065,Ugao-Miraballes,11.0
48066,Morga,14.0
48067,Muxika,17.0
48068,Mundaka,26.0
48069,Mungia,141.0
48070,Aulesti,20.0
48072,Otxandio,15.0
48073,Ondarroa,26.0
48075,Orozko,27.0
48076,Sukarrieta,23.0
48077,Plentzia,34.0
48078,Portugalete,18.0
48079,Errigoiti,17.0
48080,Valle de TrÃ¡paga-Trapagaran,27.0
48081,Lezama,54.0
48082,Santurtzi,18.0
48083,Ortuella,90.0
48084,Sestao,19.0
48085,Sopela,34.0
48086,Sopuerta,73.0
48087,Trucios-Turtzioz,27.0
48089,Urduliz,40.0
48090,Balmaseda,19.0
48091,Atxondo,36.0
48092,Bedia,23.0
48093,Areatza,18.0
48094,Igorre,34.0
48095,Zaldibar,27.0
48096,Zalla,60.0
48097,Zaratamo,26.0
48901,Derio,36.0
48902,Erandio,70.0
48903,Loiu,86.0
48904,Sondika,28.0
48905,Zamudio,33.0
48906,Forua,23.0
48907,Kortezubi,21.0
48908,Murueta,14.0
48909,Nabarniz,24.0
48910,Iurreta,32.0
48911,Ajangiz,19.0
48912,Alonsotegi,33.0
48913,Zierbena,29.0
48914,Arratzu,20.0
48915,Ziortza-Bolibar,21.0
48022,Karrantza Harana/Valle de Carranza,0.0
48071,Muskiz,0.0
48088,Ubide,0.0
48074,Urduña/Orduña,0.0
48051,Lanestosa,0.0
48020,Bilbao,0.0
