CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,24.64517995292057
48002,Abanto y Ciérvana-Abanto Zierbena,67.40556372369227
48003,Amorebieta-Etxano,99.90242601139067
48004,Amoroto,16.46264454200589
48005,Arakaldo,21.28703594479785
48006,Arantzazu,20.37848456425388
48007,Munitibar-Arbatzegi Gerrikaitz,11.564069486283117
48008,Artzentales,17.929329187052076
48009,Arrankudiaga,33.01120940204008
48010,Arrieta,20.97112484923062
48011,Arrigorriaga,16.422849745724463
48012,Bakio,13.884813860910754
48013,Barakaldo,74.86441354828311
48014,Barrika,23.637521623114267
48015,Basauri,29.995816107132683
48016,Berango,35.62289070226525
48017,Bermeo,66.87169063372102
48018,Berriatua,15.676864150428685
48019,Berriz,20.387488260176056
48020,Bilbao,1.553138214221491
48021,Busturia,24.09798239616711
48022,Karrantza Harana/Valle de Carranza,25.90848784981013
48023,Artea,20.37848456425388
48024,Zeanuri,18.46680974867435
48025,Zeberio,29.94364401196495
48026,Dima,18.146075694044384
48027,Durango,24.64517995292057
48028,Ea,30.310861265860012
48029,Etxebarri,15.439850619220223
48030,Etxebarria,24.562667104860125
48031,Elantxobe,30.310861265860012
48032,Elorrio,10.636711179877352
48033,Ereño,28.723263983602777
48034,Ermua,33.172247092691464
48035,Fruiz,20.97112484923062
48036,Galdakao,157.17494618205689
48037,Galdames,34.64732712734295
48038,Gamiz-Fika,31.55509574173435
48039,Garai,20.387488260176056
48040,Gatika,28.787240487392097
48041,Gautegiz Arteaga,28.723263983602777
48042,Gordexola,15.455305181408903
48043,Gorliz,20.97112484923062
48044,Getxo,107.20907940616908
48045,Güeñes,29.028271542817123
48046,Gernika-Lumo,13.717922458656858
48047,Gizaburuaga,16.46264454200589
48048,Ibarrangelu,28.723263983602777
48049,Ispaster,20.370702361086643
48050,Izurtza,11.072213591512352
48051,Lanestosa,18.092372211648637
48052,Larrabetzu,19.569726662583363
48053,Laukiz,20.97112484923062
48054,Leioa,78.81594724746773
48055,Lemoa,17.572721931104027
48056,Lemoiz,20.97112484923062
48057,Lekeitio,18.05024182426314
48058,Mallabia,19.599280731283244
48059,Mañaria,11.072213591512352
48060,Markina-Xemein,14.164895307966376
48061,Maruri-Jatabe,32.956493928381605
48062,Mendata,12.130325176399609
48063,Mendexa,16.46264454200589
48064,Meñaka,32.956493928381605
48065,Ugao-Miraballes,18.010447027981698
48066,Morga,12.130325176399609
48067,Muxika,23.85449863364184
48068,Mundaka,20.18992457708636
48069,Mungia,161.72322128556306
48070,Aulesti,12.57729802570914
48071,Muskiz,11.198980212858487
48072,Otxandio,12.532641406216314
48073,Ondarroa,29.249830511836905
48074,Urduña/Orduña,28.563917171505295
48075,Orozko,15.466057686632581
48076,Sukarrieta,20.18992457708636
48077,Plentzia,34.54409121063884
48078,Portugalete,16.380845380729696
48079,Errigoiti,12.130325176399609
48080,Valle de Trápaga-Trapagaran,12.786577495115722
48081,Lezama,19.569726662583363
48082,Santurtzi,24.771946574266707
48083,Ortuella,11.198980212858487
48084,Sestao,16.380845380729696
48085,Sopela,37.21048798452249
48086,Sopuerta,74.13591269788586
48087,Trucios-Turtzioz,19.51692646930931
48088,Ubide,12.532641406216314
48089,Urduliz,35.3616950803565
48090,Balmaseda,20.522695950860978
48091,Atxondo,30.13144477319537
48092,Bedia,15.985124648846792
48093,Areatza,21.966081846511116
48094,Igorre,21.966081846511116
48095,Zaldibar,21.18687801354048
48096,Zalla,51.304547183217906
48097,Zaratamo,29.995816107132683
48901,Derio,33.14269302399158
48902,Erandio,78.81594724746773
48903,Loiu,69.46882084228916
48904,Sondika,14.849834613712602
48905,Zamudio,33.14269302399158
48906,Forua,32.631321802683516
48907,Kortezubi,28.723263983602777
48908,Murueta,28.723263983602777
48909,Nabarniz,28.723263983602777
48910,Iurreta,26.85996010906628
48911,Ajangiz,12.130325176399609
48912,Alonsotegi,14.206928208126172
48913,Zierbena,23.637521623114267
48914,Arratzu,28.723263983602777
48915,Ziortza-Bolibar,12.57729802570914
