CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,0.0
48002,Abanto y Ciérvana-Abanto Zierbena,47.38262671337725
48003,Amorebieta-Etxano,41.68238721943635
48004,Amoroto,0.0
48005,Arakaldo,0.0
48006,Arantzazu,0.0
48007,Munitibar-Arbatzegi Gerrikaitz,0.0
48008,Artzentales,0.0
48009,Arrankudiaga,11.341646555963962
48010,Arrieta,0.0
48011,Arrigorriaga,0.0
48012,Bakio,0.0
48013,Barakaldo,65.11895303487108
48014,Barrika,0.0
48015,Basauri,0.0
48016,Berango,0.0
48017,Bermeo,3.7322133609923185
48018,Berriatua,0.0
48019,Berriz,0.0
48020,Bilbao,0.0
48021,Busturia,0.0
48022,Karrantza Harana/Valle de Carranza,0.0
48023,Artea,0.0
48024,Zeanuri,0.0
48025,Zeberio,0.0
48026,Dima,0.0
48027,Durango,0.0
48028,Ea,0.0
48029,Etxebarri,0.0
48030,Etxebarria,0.0
48031,Elantxobe,0.0
48032,Elorrio,0.0
48033,Ereño,0.0
48034,Ermua,0.0
48035,Fruiz,0.0
48036,Galdakao,59.387226679922605
48037,Galdames,0.0
48038,Gamiz-Fika,0.0
48039,Garai,0.0
48040,Gatika,0.0
48041,Gautegiz Arteaga,0.0
48042,Gordexola,0.0
48043,Gorliz,0.0
48044,Getxo,66.55430026620888
48045,Güeñes,0.0
48046,Gernika-Lumo,0.0
48047,Gizaburuaga,0.0
48048,Ibarrangelu,0.0
48049,Ispaster,0.0
48050,Izurtza,0.0
48051,Lanestosa,0.0
48052,Larrabetzu,0.0
48053,Laukiz,0.0
48054,Leioa,50.406209396460326
48055,Lemoa,0.0
48056,Lemoiz,0.0
48057,Lekeitio,0.0
48058,Mallabia,0.0
48059,Mañaria,0.0
48060,Markina-Xemein,0.0
48061,Maruri-Jatabe,0.0
48062,Mendata,0.0
48063,Mendexa,0.0
48064,Meñaka,0.0
48065,Ugao-Miraballes,0.0
48066,Morga,0.0
48067,Muxika,0.0
48068,Mundaka,0.0
48069,Mungia,69.79846515873942
48070,Aulesti,0.0
48071,Muskiz,0.0
48072,Otxandio,0.0
48073,Ondarroa,0.0
48074,Urduña/Orduña,0.0
48075,Orozko,0.0
48076,Sukarrieta,0.0
48077,Plentzia,0.0
48078,Portugalete,0.0
48079,Errigoiti,0.0
48080,Valle de Trápaga-Trapagaran,0.0
48081,Lezama,0.0
48082,Santurtzi,0.0
48083,Ortuella,0.0
48084,Sestao,0.0
48085,Sopela,0.0
48086,Sopuerta,42.29388853414275
48087,Trucios-Turtzioz,0.0
48088,Ubide,0.0
48089,Urduliz,0.0
48090,Balmaseda,0.0
48091,Atxondo,0.0
48092,Bedia,0.0
48093,Areatza,0.0
48094,Igorre,0.0
48095,Zaldibar,0.0
48096,Zalla,38.820851246237
48097,Zaratamo,0.0
48901,Derio,0.0
48902,Erandio,49.88598648874904
48903,Loiu,43.25371277547674
48904,Sondika,0.0
48905,Zamudio,0.0
48906,Forua,0.0
48907,Kortezubi,0.0
48908,Murueta,0.0
48909,Nabarniz,0.0
48910,Iurreta,0.0
48911,Ajangiz,0.0
48912,Alonsotegi,0.0
48913,Zierbena,0.0
48914,Arratzu,0.0
48915,Ziortza-Bolibar,0.0
