CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,24.0
48002,Abanto y Ciérvana-Abanto Zierbena,37.0
48003,Amorebieta-Etxano,70.0
48004,Amoroto,5.0
48005,Arakaldo,4.0
48006,Arantzazu,4.0
48007,Munitibar-Arbatzegi Gerrikaitz,7.0
48008,Artzentales,10.0
48009,Arrankudiaga,14.0
48010,Arrieta,11.0
48011,Arrigorriaga,13.0
48012,Bakio,20.0
48013,Barakaldo,43.0
48014,Barrika,11.0
48015,Basauri,10.0
48016,Berango,24.0
48017,Bermeo,44.0
48018,Berriatua,13.0
48019,Berriz,18.0
48021,Busturia,23.0
48022,Karrantza Harana/Valle de Carranza,1.0
48023,Artea,11.0
48024,Zeanuri,16.0
48025,Zeberio,17.0
48026,Dima,13.0
48027,Durango,26.0
48028,Ea,18.0
48029,Etxebarri,17.0
48030,Etxebarria,13.0
48031,Elantxobe,8.0
48032,Elorrio,25.0
48033,Ereño,7.0
48034,Ermua,20.0
48035,Fruiz,8.0
48036,Galdakao,81.0
48037,Galdames,23.0
48038,Gamiz-Fika,8.0
48039,Garai,5.0
48040,Gatika,24.0
48041,Gautegiz Arteaga,13.0
48042,Gordexola,8.0
48043,Gorliz,21.0
48044,Getxo,71.0
48045,Güeñes,26.0
48046,Gernika-Lumo,21.0
48047,Gizaburuaga,5.0
48048,Ibarrangelu,10.0
48049,Ispaster,10.0
48050,Izurtza,5.0
48051,Lanestosa,1.0
48052,Larrabetzu,25.0
48053,Laukiz,21.0
48054,Leioa,37.0
48055,Lemoa,10.0
48056,Lemoiz,6.0
48057,Lekeitio,17.0
48058,Mallabia,10.0
48059,Mañaria,8.0
48060,Markina-Xemein,16.0
48061,Maruri-Jatabe,21.0
48062,Mendata,4.0
48063,Mendexa,8.0
48064,Meñaka,19.0
48065,Ugao-Miraballes,11.0
48066,Morga,6.0
48067,Muxika,27.0
48068,Mundaka,8.0
48069,Mungia,100.0
48070,Aulesti,10.0
48071,Muskiz,0.0
48072,Otxandio,11.0
48073,Ondarroa,16.0
48074,Urduña/Orduña,1.0
48075,Orozko,27.0
48076,Sukarrieta,9.0
48077,Plentzia,15.0
48078,Portugalete,9.0
48079,Errigoiti,7.0
48080,Valle de Trápaga-Trapagaran,20.0
48081,Lezama,27.0
48082,Santurtzi,15.0
48083,Ortuella,13.0
48084,Sestao,9.0
48085,Sopela,27.0
48086,Sopuerta,40.0
48087,Trucios-Turtzioz,9.0
48088,Ubide,0.0
48089,Urduliz,20.0
48090,Balmaseda,11.0
48091,Atxondo,11.0
48092,Bedia,13.0
48093,Areatza,18.0
48094,Igorre,16.0
48095,Zaldibar,14.0
48096,Zalla,22.0
48097,Zaratamo,11.0
48901,Derio,24.0
48902,Erandio,40.0
48903,Loiu,37.0
48904,Sondika,19.0
48905,Zamudio,24.0
48906,Forua,7.0
48907,Kortezubi,5.0
48908,Murueta,8.0
48909,Nabarniz,7.0
48910,Iurreta,22.0
48911,Ajangiz,10.0
48912,Alonsotegi,14.0
48913,Zierbena,7.0
48914,Arratzu,8.0
48915,Ziortza-Bolibar,6.0
48020,Bilbao,0.0
