CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,15.0
48005,Arakaldo,6.0
48006,Arantzazu,5.0
48009,Arrankudiaga,25.0
48011,Arrigorriaga,12.0
48012,Bakio,31.0
48014,Barrika,15.0
48016,Berango,30.0
48017,Bermeo,37.0
48018,Berriatua,18.0
48019,Berriz,16.0
48021,Busturia,15.0
48023,Artea,10.0
48024,Zeanuri,16.0
48025,Zeberio,24.0
48026,Dima,12.0
48029,Etxebarri,16.0
48032,Elorrio,21.0
48034,Ermua,15.0
48037,Galdames,22.0
48038,Gamiz-Fika,9.0
48040,Gatika,19.0
48041,Gautegiz Arteaga,12.0
48043,Gorliz,20.0
48045,Güeñes,25.0
48046,Gernika-Lumo,19.0
48047,Gizaburuaga,7.0
48048,Ibarrangelu,10.0
48050,Izurtza,6.0
48052,Larrabetzu,26.0
48053,Laukiz,15.0
48055,Lemoa,12.0
48056,Lemoiz,11.0
48057,Lekeitio,15.0
48058,Mallabia,9.0
48059,Mañaria,7.0
48060,Markina-Xemein,17.0
48062,Mendata,5.0
48065,Ugao-Miraballes,10.0
48067,Muxika,31.0
48068,Mundaka,11.0
48069,Mungia,64.0
48072,Otxandio,11.0
48073,Ondarroa,18.0
48075,Orozko,26.0
48077,Plentzia,15.0
48078,Portugalete,21.0
48080,Valle de Trápaga-Trapagaran,20.0
48081,Lezama,27.0
48082,Santurtzi,21.0
48084,Sestao,21.0
48085,Sopela,28.0
48089,Urduliz,24.0
48090,Balmaseda,13.0
48091,Atxondo,12.0
48092,Bedia,10.0
48093,Areatza,12.0
48094,Igorre,16.0
48095,Zaldibar,11.0
48097,Zaratamo,11.0
48901,Derio,20.0
48904,Sondika,17.0
48905,Zamudio,28.0
48907,Kortezubi,6.0
48908,Murueta,7.0
48909,Nabarniz,7.0
48910,Iurreta,22.0
48911,Ajangiz,9.0
48912,Alonsotegi,14.0
48913,Zierbena,12.0
48914,Arratzu,8.0
48002,Abanto y Ciérvana-Abanto Zierbena,55.0
48003,Amorebieta-Etxano,62.0
48013,Barakaldo,53.0
48015,Basauri,33.0
48027,Durango,27.0
48036,Galdakao,64.0
48042,Gordexola,23.0
48044,Getxo,64.0
48054,Leioa,43.0
48083,Ortuella,49.0
48086,Sopuerta,45.0
48096,Zalla,29.0
48902,Erandio,44.0
48903,Loiu,40.0
48007,Munitibar-Arbatzegi Gerrikaitz,11.0
48010,Arrieta,12.0
48030,Etxebarria,14.0
48031,Elantxobe,12.0
48033,Ereño,11.0
48039,Garai,12.0
48049,Ispaster,14.0
48061,Maruri-Jatabe,20.0
48063,Mendexa,13.0
48064,Meñaka,15.0
48070,Aulesti,12.0
48004,Amoroto,6.0
48008,Artzentales,11.0
48028,Ea,8.0
48035,Fruiz,9.0
48066,Morga,5.0
48076,Sukarrieta,10.0
48079,Errigoiti,5.0
48087,Trucios-Turtzioz,10.0
48906,Forua,5.0
48915,Ziortza-Bolibar,5.0
48020,Bilbao,0.0
48022,Karrantza Harana/Valle de Carranza,1.0
48071,Muskiz,0.0
48088,Ubide,0.0
48074,UrduÃ±a/OrduÃ±a,1.0
48051,Lanestosa,1.0
48015,Basauri,0.0
48036,Galdakao,0.0
