CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,17.0
48002,Abanto y Ciérvana-Abanto Zierbena,51.0
48911,Ajangiz,15.0
48912,Alonsotegi,16.0
48003,Amorebieta-Etxano,93.0
48004,Amoroto,7.0
48005,Arakaldo,6.0
48006,Arantzazu,6.0
48093,Areatza,16.0
48009,Arrankudiaga,28.0
48914,Arratzu,9.0
48010,Arrieta,10.0
48011,Arrigorriaga,21.0
48023,Artea,11.0
48008,Artzentales,32.0
48091,Atxondo,14.0
48070,Aulesti,15.0
48012,Bakio,23.0
48090,Balmaseda,29.0
48013,Barakaldo,94.0
48014,Barrika,18.0
48015,Basauri,17.0
48092,Bedia,22.0
48016,Berango,26.0
48017,Bermeo,47.0
48018,Berriatua,24.0
48019,Berriz,39.0
48021,Busturia,45.0
48901,Derio,27.0
48026,Dima,13.0
48027,Durango,18.0
48028,Ea,16.0
48031,Elantxobe,9.0
48032,Elorrio,22.0
48902,Erandio,111.0
48033,Ereño,8.0
48034,Ermua,18.0
48079,Errigoiti,13.0
48029,Etxebarri,42.0
48030,Etxebarria,19.0
48906,Forua,4.0
48035,Fruiz,6.0
48036,Galdakao,194.0
48037,Galdames,20.0
48038,Gamiz-Fika,13.0
48039,Garai,10.0
48040,Gatika,26.0
48041,Gautegiz Arteaga,13.0
48046,Gernika-Lumo,15.0
48044,Getxo,125.0
48047,Gizaburuaga,10.0
48042,Gordexola,18.0
48043,Gorliz,22.0
48045,Güeñes,44.0
48048,Ibarrangelu,10.0
48094,Igorre,22.0
48049,Ispaster,26.0
48910,Iurreta,21.0
48050,Izurtza,4.0
48022,Karrantza Harana/Valle de Carranza,21.0
48907,Kortezubi,3.0
48051,Lanestosa,6.0
48052,Larrabetzu,26.0
48053,Laukiz,16.0
48054,Leioa,128.0
48057,Lekeitio,33.0
48055,Lemoa,31.0
48056,Lemoiz,7.0
48081,Lezama,41.0
48903,Loiu,43.0
48058,Mallabia,19.0
48060,Markina-Xemein,16.0
48061,Maruri-Jatabe,24.0
48059,Mañaria,5.0
48062,Mendata,9.0
48063,Mendexa,10.0
48064,Meñaka,19.0
48066,Morga,8.0
48068,Mundaka,25.0
48069,Mungia,86.0
48007,Munitibar-Arbatzegi Gerrikaitz,9.0
48908,Murueta,9.0
48071,Muskiz,13.0
48067,Muxika,25.0
48909,Nabarniz,7.0
48073,Ondarroa,46.0
48075,Orozko,29.0
48083,Ortuella,32.0
48072,Otxandio,14.0
48077,Plentzia,9.0
48078,Portugalete,18.0
48082,Santurtzi,25.0
48084,Sestao,7.0
48904,Sondika,20.0
48085,Sopela,24.0
48086,Sopuerta,93.0
48076,Sukarrieta,15.0
48087,Trucios-Turtzioz,15.0
48088,Ubide,0.0
48065,Ugao-Miraballes,15.0
48089,Urduliz,22.0
48074,Urduña/Orduña,24.0
48080,Valle de Trápaga-Trapagaran,28.0
48095,Zaldibar,10.0
48096,Zalla,55.0
48905,Zamudio,34.0
48097,Zaratamo,14.0
48024,Zeanuri,27.0
48025,Zeberio,29.0
48913,Zierbena,14.0
48915,Ziortza-Bolibar,10.0
48020,Bilbao,0.0
