CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,24.0
48002,Abanto y Ciérvana-Abanto Zierbena,60.0
48911,Ajangiz,18.0
48912,Alonsotegi,18.0
48003,Amorebieta-Etxano,95.0
48004,Amoroto,9.0
48005,Arakaldo,6.0
48006,Arantzazu,5.0
48093,Areatza,10.0
48009,Arrankudiaga,31.0
48914,Arratzu,9.0
48010,Arrieta,11.0
48011,Arrigorriaga,23.0
48023,Artea,13.0
48008,Artzentales,18.0
48091,Atxondo,21.0
48070,Aulesti,20.0
48012,Bakio,40.0
48090,Balmaseda,18.0
48013,Barakaldo,78.0
48014,Barrika,8.0
48015,Basauri,24.0
48092,Bedia,16.0
48016,Berango,47.0
48017,Bermeo,56.0
48018,Berriatua,14.0
48019,Berriz,18.0
48021,Busturia,32.0
48901,Derio,21.0
48026,Dima,27.0
48027,Durango,41.0
48028,Ea,15.0
48031,Elantxobe,9.0
48032,Elorrio,29.0
48902,Erandio,109.0
48033,Ereño,9.0
48034,Ermua,18.0
48079,Errigoiti,13.0
48029,Etxebarri,11.0
48030,Etxebarria,15.0
48906,Forua,5.0
48035,Fruiz,6.0
48036,Galdakao,130.0
48037,Galdames,26.0
48038,Gamiz-Fika,8.0
48039,Garai,6.0
48040,Gatika,24.0
48041,Gautegiz Arteaga,13.0
48046,Gernika-Lumo,31.0
48044,Getxo,78.0
48047,Gizaburuaga,11.0
48042,Gordexola,20.0
48043,Gorliz,20.0
48045,Güeñes,43.0
48048,Ibarrangelu,10.0
48094,Igorre,22.0
48049,Ispaster,17.0
48910,Iurreta,24.0
48050,Izurtza,5.0
48907,Kortezubi,3.0
48052,Larrabetzu,23.0
48053,Laukiz,19.0
48054,Leioa,125.0
48057,Lekeitio,28.0
48055,Lemoa,16.0
48056,Lemoiz,6.0
48081,Lezama,28.0
48903,Loiu,42.0
48058,Mallabia,14.0
48060,Markina-Xemein,20.0
48061,Maruri-Jatabe,26.0
48059,Mañaria,7.0
48062,Mendata,10.0
48063,Mendexa,12.0
48064,Meñaka,18.0
48066,Morga,9.0
48068,Mundaka,12.0
48069,Mungia,130.0
48007,Munitibar-Arbatzegi Gerrikaitz,15.0
48908,Murueta,9.0
48067,Muxika,40.0
48909,Nabarniz,8.0
48073,Ondarroa,34.0
48075,Orozko,24.0
48083,Ortuella,33.0
48072,Otxandio,12.0
48077,Plentzia,7.0
48078,Portugalete,22.0
48082,Santurtzi,21.0
48084,Sestao,19.0
48904,Sondika,24.0
48085,Sopela,35.0
48086,Sopuerta,58.0
48076,Sukarrieta,12.0
48087,Trucios-Turtzioz,13.0
48065,Ugao-Miraballes,28.0
48089,Urduliz,26.0
48080,Valle de Trápaga-Trapagaran,32.0
48095,Zaldibar,12.0
48096,Zalla,63.0
48905,Zamudio,28.0
48097,Zaratamo,29.0
48024,Zeanuri,23.0
48025,Zeberio,17.0
48913,Zierbena,12.0
48915,Ziortza-Bolibar,6.0
48022,Karrantza Harana/Valle de Carranza,0.0
48071,Muskiz,0.0
48088,Ubide,0.0
48074,Urduña/Orduña,0.0
48051,Lanestosa,0.0
48020,Bilbao,0.0
