CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,39.0
48002,Abanto y Ciérvana-Abanto Zierbena,63.0
48911,Ajangiz,13.0
48912,Alonsotegi,33.0
48003,Amorebieta-Etxano,97.0
48004,Amoroto,13.0
48005,Arakaldo,9.0
48006,Arantzazu,6.0
48093,Areatza,13.0
48009,Arrankudiaga,23.0
48914,Arratzu,9.0
48010,Arrieta,9.0
48011,Arrigorriaga,12.0
48023,Artea,14.0
48008,Artzentales,21.0
48091,Atxondo,28.0
48070,Aulesti,17.0
48012,Bakio,17.0
48090,Balmaseda,5.0
48013,Barakaldo,100.0
48014,Barrika,22.0
48015,Basauri,21.0
48092,Bedia,15.0
48016,Berango,31.0
48017,Bermeo,48.0
48018,Berriatua,10.0
48019,Berriz,38.0
48021,Busturia,19.0
48901,Derio,22.0
48026,Dima,18.0
48027,Durango,28.0
48028,Ea,24.0
48031,Elantxobe,3.0
48032,Elorrio,40.0
48902,Erandio,71.0
48033,Ereño,8.0
48034,Ermua,58.0
48079,Errigoiti,13.0
48029,Etxebarri,42.0
48030,Etxebarria,20.0
48906,Forua,21.0
48035,Fruiz,6.0
48036,Galdakao,147.0
48037,Galdames,21.0
48038,Gamiz-Fika,18.0
48039,Garai,4.0
48040,Gatika,16.0
48041,Gautegiz Arteaga,33.0
48046,Gernika-Lumo,36.0
48044,Getxo,128.0
48047,Gizaburuaga,14.0
48042,Gordexola,21.0
48043,Gorliz,27.0
48045,Güeñes,53.0
48048,Ibarrangelu,16.0
48094,Igorre,15.0
48049,Ispaster,12.0
48910,Iurreta,38.0
48050,Izurtza,8.0
48907,Kortezubi,11.0
48052,Larrabetzu,28.0
48053,Laukiz,12.0
48054,Leioa,61.0
48057,Lekeitio,10.0
48055,Lemoa,19.0
48056,Lemoiz,6.0
48081,Lezama,36.0
48903,Loiu,50.0
48058,Mallabia,15.0
48060,Markina-Xemein,25.0
48061,Maruri-Jatabe,11.0
48059,Mañaria,8.0
48062,Mendata,5.0
48063,Mendexa,12.0
48064,Meñaka,8.0
48066,Morga,9.0
48068,Mundaka,7.0
48069,Mungia,121.0
48007,Munitibar-Arbatzegi Gerrikaitz,8.0
48908,Murueta,7.0
48067,Muxika,36.0
48909,Nabarniz,8.0
48073,Ondarroa,18.0
48075,Orozko,61.0
48083,Ortuella,16.0
48072,Otxandio,10.0
48077,Plentzia,19.0
48078,Portugalete,18.0
48082,Santurtzi,36.0
48084,Sestao,56.0
48904,Sondika,24.0
48085,Sopela,25.0
48086,Sopuerta,76.0
48076,Sukarrieta,9.0
48087,Trucios-Turtzioz,10.0
48065,Ugao-Miraballes,14.0
48089,Urduliz,16.0
48080,Valle de Trápaga-Trapagaran,18.0
48095,Zaldibar,33.0
48096,Zalla,20.0
48905,Zamudio,28.0
48097,Zaratamo,17.0
48024,Zeanuri,22.0
48025,Zeberio,9.0
48913,Zierbena,8.0
48915,Ziortza-Bolibar,6.0
48022,Karrantza Harana/Valle de Carranza,0.0
48071,Muskiz,0.0
48088,Ubide,1.0
48074,Urduña/Orduña,0.0
48051,Lanestosa,1.0
48020,Bilbao,0.0
