CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,40.0
48002,Abanto y Ciérvana-Abanto Zierbena,40.0
48911,Ajangiz,13.0
48912,Alonsotegi,30.0
48003,Amorebieta-Etxano,85.0
48004,Amoroto,8.0
48005,Arakaldo,15.0
48006,Arantzazu,7.0
48093,Areatza,19.0
48009,Arrankudiaga,23.0
48914,Arratzu,9.0
48010,Arrieta,12.0
48011,Arrigorriaga,32.0
48023,Artea,16.0
48008,Artzentales,23.0
48091,Atxondo,17.0
48070,Aulesti,12.0
48012,Bakio,33.0
48090,Balmaseda,18.0
48013,Barakaldo,59.0
48014,Barrika,19.0
48015,Basauri,33.0
48092,Bedia,23.0
48016,Berango,32.0
48017,Bermeo,44.0
48018,Berriatua,16.0
48019,Berriz,38.0
48021,Busturia,18.0
48901,Derio,22.0
48026,Dima,19.0
48027,Durango,33.0
48028,Ea,19.0
48031,Elantxobe,10.0
48032,Elorrio,51.0
48902,Erandio,54.0
48033,Ereño,9.0
48034,Ermua,40.0
48079,Errigoiti,13.0
48029,Etxebarri,33.0
48030,Etxebarria,20.0
48906,Forua,19.0
48035,Fruiz,9.0
48036,Galdakao,125.0
48037,Galdames,17.0
48038,Gamiz-Fika,16.0
48039,Garai,10.0
48040,Gatika,25.0
48041,Gautegiz Arteaga,22.0
48046,Gernika-Lumo,38.0
48044,Getxo,78.0
48047,Gizaburuaga,8.0
48042,Gordexola,29.0
48043,Gorliz,31.0
48045,Güeñes,36.0
48048,Ibarrangelu,12.0
48094,Igorre,18.0
48049,Ispaster,15.0
48910,Iurreta,35.0
48050,Izurtza,8.0
48907,Kortezubi,9.0
48052,Larrabetzu,28.0
48053,Laukiz,15.0
48054,Leioa,55.0
48057,Lekeitio,14.0
48055,Lemoa,37.0
48056,Lemoiz,15.0
48081,Lezama,38.0
48903,Loiu,42.0
48058,Mallabia,19.0
48060,Markina-Xemein,23.0
48061,Maruri-Jatabe,18.0
48059,Mañaria,11.0
48062,Mendata,10.0
48063,Mendexa,8.0
48064,Meñaka,16.0
48066,Morga,10.0
48068,Mundaka,24.0
48069,Mungia,129.0
48007,Munitibar-Arbatzegi Gerrikaitz,11.0
48908,Murueta,9.0
48067,Muxika,30.0
48909,Nabarniz,9.0
48073,Ondarroa,7.0
48075,Orozko,49.0
48083,Ortuella,27.0
48072,Otxandio,19.0
48077,Plentzia,25.0
48078,Portugalete,19.0
48082,Santurtzi,47.0
48084,Sestao,50.0
48904,Sondika,25.0
48085,Sopela,32.0
48086,Sopuerta,62.0
48076,Sukarrieta,8.0
48087,Trucios-Turtzioz,14.0
48065,Ugao-Miraballes,18.0
48089,Urduliz,22.0
48080,Valle de Trápaga-Trapagaran,29.0
48095,Zaldibar,30.0
48096,Zalla,43.0
48905,Zamudio,26.0
48097,Zaratamo,20.0
48024,Zeanuri,21.0
48025,Zeberio,19.0
48913,Zierbena,17.0
48915,Ziortza-Bolibar,8.0
48022,Karrantza Harana/Valle de Carranza,0.0
48071,Muskiz,0.0
48088,Ubide,1.0
48074,Urduña/Orduña,0.0
48051,Lanestosa,1.0
48020,Bilbao,0.0
