CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,129.20056
48002,Abanto y Ciérvana-Abanto Zierbena,183.66801
48911,Ajangiz,24.05149
48912,Alonsotegi,26.509651
48003,Amorebieta-Etxano,179.99657
48004,Amoroto,18.508204
48005,Arakaldo,18.513388
48006,Arantzazu,18.513388
48093,Areatza,14.417372
48009,Arrankudiaga,24.100325
48914,Arratzu,24.05149
48010,Arrieta,15.308545
48011,Arrigorriaga,24.161322
48023,Artea,24.473139
48008,Artzentales,6.0819635
48091,Atxondo,141.52925
48070,Aulesti,18.137405
48012,Bakio,23.797615
48090,Balmaseda,26.214643
48013,Barakaldo,161.06647
48014,Barrika,24.191477
48015,Basauri,129.16513
48092,Bedia,11.862171
48016,Berango,142.80171
48017,Bermeo,175.50534
48018,Berriatua,22.92375
48019,Berriz,24.05149
48020,Bilbao,0.0
48021,Busturia,25.36566
48901,Derio,133.5641
48026,Dima,28.175695
48027,Durango,135.85162
48028,Ea,26.212046
48031,Elantxobe,14.431016
48032,Elorrio,26.214228
48902,Erandio,161.48422
48033,Ereño,15.102225
48034,Ermua,132.18335
48079,Errigoiti,24.05149
48029,Etxebarri,12.305567
48030,Etxebarria,142.0071
48906,Forua,18.08174
48035,Fruiz,15.308545
48036,Galdakao,161.82108
48037,Galdames,21.978613
48038,Gamiz-Fika,145.51118
48039,Garai,18.291927
48040,Gatika,20.941813
48041,Gautegiz Arteaga,24.074303
48046,Gernika-Lumo,23.917461
48044,Getxo,174.58516
48047,Gizaburuaga,17.214323
48042,Gordexola,24.756771
48043,Gorliz,22.382162
48045,Güeñes,138.39679
48048,Ibarrangelu,24.751589
48094,Igorre,23.917461
48049,Ispaster,17.428034
48910,Iurreta,133.09456
48050,Izurtza,24.756771
48022,Karrantza Harana/Valle de Carranza,0.0
48907,Kortezubi,26.057692
48051,Lanestosa,0.0
48052,Larrabetzu,22.461208
48053,Laukiz,21.735447
48054,Leioa,161.09598
48057,Lekeitio,21.363008
48055,Lemoa,18.61688
48056,Lemoiz,19.325508
48081,Lezama,26.336142
48903,Loiu,158.72249
48058,Mallabia,15.102225
48060,Markina-Xemein,23.917461
48061,Maruri-Jatabe,140.17114
48059,Mañaria,14.735572
48062,Mendata,24.074303
48063,Mendexa,23.537142
48064,Meñaka,139.3231
48066,Morga,22.461208
48068,Mundaka,24.191477
48069,Mungia,159.15149
48007,Munitibar-Arbatzegi Gerrikaitz,18.527224
48908,Murueta,15.255605
48071,Muskiz,1.0
48067,Muxika,26.079903
48909,Nabarniz,22.461208
48073,Ondarroa,133.05547
48075,Orozko,26.063421
48083,Ortuella,15.255605
48072,Otxandio,13.441355
48077,Plentzia,129.17043
48078,Portugalete,10.923417
48082,Santurtzi,132.32869
48084,Sestao,10.923417
48904,Sondika,21.24424
48085,Sopela,132.7336
48086,Sopuerta,162.42604
48076,Sukarrieta,15.660515
48087,Trucios-Turtzioz,14.277049
48088,Ubide,0.0
48065,Ugao-Miraballes,14.373873
48089,Urduliz,15.665691
48074,Urduña/Orduña,1.0
48080,Valle de Trápaga-Trapagaran,14.431016
48095,Zaldibar,14.431016
48096,Zalla,47.40468
48905,Zamudio,136.22458
48097,Zaratamo,132.27153
48024,Zeanuri,22.412169
48025,Zeberio,143.17648
48913,Zierbena,18.06502
48915,Ziortza-Bolibar,15.102225
