CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,26.33146288986917
48002,Abanto y Ciérvana-Abanto Zierbena,72.17685335114285
48003,Amorebieta-Etxano,99.41090633652934
48004,Amoroto,17.595152338338217
48005,Arakaldo,12.810017707793921
48006,Arantzazu,14.851843096304604
48007,Munitibar-Arbatzegi Gerrikaitz,11.163998340963966
48008,Artzentales,15.332119908760848
48009,Arrankudiaga,31.83013225458555
48010,Arrieta,15.989763508147654
48011,Arrigorriaga,13.850271850432513
48012,Bakio,34.89188567055932
48013,Barakaldo,69.6287905006907
48014,Barrika,18.423691566834513
48015,Basauri,27.497929475068588
48016,Berango,27.119948725311964
48017,Bermeo,50.955321541275275
48018,Berriatua,19.04913345022816
48019,Berriz,13.954586080614693
48020,Bilbao,0.0
48021,Busturia,21.024949535647124
48022,Karrantza Harana/Valle de Carranza,0.0
48023,Artea,15.229625667532448
48024,Zeanuri,11.562958568493306
48025,Zeberio,22.81390260869086
48026,Dima,12.754724620013176
48027,Durango,29.185820094701782
48028,Ea,17.72602557458459
48029,Etxebarri,16.37402445678216
48030,Etxebarria,26.519778899677327
48031,Elantxobe,16.970460432128895
48032,Elorrio,18.2952473583312
48033,Ereño,15.03587406554633
48034,Ermua,30.80882068744982
48035,Fruiz,15.989763508147654
48036,Galdakao,154.46682098102403
48037,Galdames,38.461087010383324
48038,Gamiz-Fika,28.26384190062506
48039,Garai,13.828658556872078
48040,Gatika,24.28161266957989
48041,Gautegiz Arteaga,16.169221779229872
48042,Gordexola,20.789445482730414
48043,Gorliz,16.997183698088573
48044,Getxo,102.18924923629987
48045,Güeñes,33.79336760376611
48046,Gernika-Lumo,22.445905773077563
48047,Gizaburuaga,17.595152338338217
48048,Ibarrangelu,15.413656636774174
48049,Ispaster,20.45124886250417
48050,Izurtza,14.788187995394333
48051,Lanestosa,1.0
48052,Larrabetzu,17.424847343905405
48053,Laukiz,16.241618555632883
48054,Leioa,78.24448487543418
48055,Lemoa,17.155613907350638
48056,Lemoiz,16.745328650603344
48057,Lekeitio,20.024531687302435
48058,Mallabia,17.07028671419882
48059,Mañaria,13.528912757968182
48060,Markina-Xemein,19.577283622422158
48061,Maruri-Jatabe,28.355164738811006
48062,Mendata,16.147285857909953
48063,Mendexa,19.55402492989001
48064,Meñaka,26.67613108890947
48065,Ugao-Miraballes,15.580053845271088
48066,Morga,21.20968420422204
48067,Muxika,45.42761098540221
48068,Mundaka,18.37471529415083
48069,Mungia,159.41463501845456
48070,Aulesti,15.674849800085422
48071,Muskiz,0.0
48072,Otxandio,11.145174702409335
48073,Ondarroa,32.984451403665275
48074,Urduña/Orduña,1.0
48075,Orozko,13.660877969545622
48076,Sukarrieta,17.996932722922985
48077,Plentzia,29.25557957768622
48078,Portugalete,15.714385627795487
48079,Errigoiti,17.15470604785088
48080,Valle de Trápaga-Trapagaran,17.985660606563034
48081,Lezama,33.79018794243072
48082,Santurtzi,29.389983872512786
48083,Ortuella,16.004079162659707
48084,Sestao,15.714385627795487
48085,Sopela,29.53149384909856
48086,Sopuerta,75.95901397522815
48087,Trucios-Turtzioz,17.26670627534341
48088,Ubide,0.0
48089,Urduliz,25.130485565158757
48090,Balmaseda,19.263135054849208
48091,Atxondo,20.213302901503596
48092,Bedia,14.591389922055
48093,Areatza,16.786429462887174
48094,Igorre,26.215803388765984
48095,Zaldibar,19.029194840071753
48096,Zalla,53.37724212042446
48097,Zaratamo,27.497929475068588
48901,Derio,27.485223089598747
48902,Erandio,79.08400170038495
48903,Loiu,74.09836020574055
48904,Sondika,18.12077107899631
48905,Zamudio,37.391521624017805
48906,Forua,17.60636093729569
48907,Kortezubi,16.798859397942945
48908,Murueta,15.03587406554633
48909,Nabarniz,15.161801589288945
48910,Iurreta,36.07101111668624
48911,Ajangiz,16.147285857909953
48912,Alonsotegi,11.811570788268707
48913,Zierbena,15.596832377065414
48914,Arratzu,15.413656636774174
48915,Ziortza-Bolibar,15.674849800085422
