CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,38.91991
48002,Abanto y Ciérvana-Abanto Zierbena,66.604294
48911,Ajangiz,71.32136
48912,Alonsotegi,8.608326
48003,Amorebieta-Etxano,13.483033
48004,Amoroto,0.0
48005,Arakaldo,14.532866
48006,Arantzazu,22.087244
48093,Areatza,28.7817
48009,Arrankudiaga,15.220853
48914,Arratzu,7.2165895
48010,Arrieta,34.958942
48011,Arrigorriaga,97.56209
48023,Artea,10.34401
48008,Artzentales,15.287325
48091,Atxondo,34.078163
48070,Aulesti,50.008793
48012,Bakio,13.476945
48090,Balmaseda,26.057522
48013,Barakaldo,7.2083864
48014,Barrika,34.074112
48015,Basauri,21.399912
48092,Bedia,8.744552
48016,Berango,22.267395
48017,Bermeo,10.64563
48018,Berriatua,22.99884
48019,Berriz,61.73062
48020,Bilbao,0.0
48021,Busturia,16.552752
48901,Derio,21.119818
48026,Dima,8.852548
48027,Durango,33.931885
48028,Ea,12.767141
48031,Elantxobe,17.476542
48032,Elorrio,10.444134
48902,Erandio,124.25142
48033,Ereño,19.053505
48034,Ermua,13.770548
48079,Errigoiti,7.297281
48029,Etxebarri,33.412113
48030,Etxebarria,25.88775
48906,Forua,21.380367
48035,Fruiz,22.873344
48036,Galdakao,78.63445
48037,Galdames,44.280045
48038,Gamiz-Fika,32.485027
48039,Garai,7.6528664
48040,Gatika,14.101795
48041,Gautegiz Arteaga,20.004269
48046,Gernika-Lumo,23.753681
48044,Getxo,7.3257155
48047,Gizaburuaga,32.722855
48042,Gordexola,20.884373
48043,Gorliz,85.95295
48045,Güeñes,19.72204
48048,Ibarrangelu,7.4430957
48094,Igorre,17.572462
48049,Ispaster,5.7034526
48910,Iurreta,25.106554
48050,Izurtza,25.430973
48022,Karrantza Harana/Valle de Carranza,0.0
48907,Kortezubi,14.8134365
48051,Lanestosa,0.0
48052,Larrabetzu,19.613878
48053,Laukiz,22.51229
48054,Leioa,20.913216
48057,Lekeitio,43.08478
48055,Lemoa,8.632272
48056,Lemoiz,139.14622
48081,Lezama,20.58663
48903,Loiu,12.015266
48058,Mallabia,10.586294
48060,Markina-Xemein,21.738522
48061,Maruri-Jatabe,30.37564
48059,Mañaria,22.606112
48062,Mendata,10.6748905
48063,Mendexa,15.345588
48064,Meñaka,28.36812
48066,Morga,22.057486
48068,Mundaka,27.7641
48069,Mungia,39.172253
48007,Munitibar-Arbatzegi Gerrikaitz,29.62071
48908,Murueta,45.90223
48071,Muskiz,1.0
48067,Muxika,29.068296
48909,Nabarniz,70.494545
48073,Ondarroa,9.414257
48075,Orozko,2.4129405
48083,Ortuella,23.78057
48072,Otxandio,15.515833
48077,Plentzia,22.271523
48078,Portugalete,15.760304
48082,Santurtzi,9.870499
48084,Sestao,16.066673
48904,Sondika,14.411792
48085,Sopela,41.444595
48086,Sopuerta,25.579155
48076,Sukarrieta,38.110096
48087,Trucios-Turtzioz,70.24303
48088,Ubide,0.0
48065,Ugao-Miraballes,19.781017
48089,Urduliz,32.559563
48074,Urduña/Orduña,1.0
48080,Valle de Trápaga-Trapagaran,20.858257
48095,Zaldibar,12.087554
48096,Zalla,12.384557
48905,Zamudio,33.854362
48097,Zaratamo,19.15492
48024,Zeanuri,19.653728
48025,Zeberio,7.259022
48913,Zierbena,15.149898
48915,Ziortza-Bolibar,9.961825
