CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,38.889698
48002,Abanto y Ciérvana-Abanto Zierbena,62.74542
48911,Ajangiz,18.064775
48912,Alonsotegi,20.61398
48003,Amorebieta-Etxano,81.992714
48004,Amoroto,7.964143
48005,Arakaldo,15.470068
48006,Arantzazu,0.0
48093,Areatza,7.7606587
48009,Arrankudiaga,30.981487
48914,Arratzu,12.95039
48010,Arrieta,13.119002
48011,Arrigorriaga,11.9732685
48023,Artea,6.1587033
48008,Artzentales,23.26225
48091,Atxondo,25.112232
48070,Aulesti,22.545916
48012,Bakio,42.268078
48090,Balmaseda,19.023396
48013,Barakaldo,94.028984
48014,Barrika,10.033049
48015,Basauri,14.646954
48092,Bedia,19.143131
48016,Berango,34.811115
48017,Bermeo,50.31522
48018,Berriatua,17.988699
48019,Berriz,21.09195
48020,Bilbao,0.0
48021,Busturia,33.23503
48901,Derio,33.38216
48026,Dima,23.942707
48027,Durango,70.3776
48028,Ea,21.676939
48031,Elantxobe,9.139457
48032,Elorrio,38.222588
48902,Erandio,73.78922
48033,Ereño,9.510187
48034,Ermua,19.164923
48079,Errigoiti,24.684917
48029,Etxebarri,18.261742
48030,Etxebarria,21.303885
48906,Forua,10.641519
48035,Fruiz,9.304085
48036,Galdakao,126.848724
48037,Galdames,21.800705
48038,Gamiz-Fika,13.650603
48039,Garai,7.7662
48040,Gatika,27.519499
48041,Gautegiz Arteaga,22.257307
48046,Gernika-Lumo,33.597744
48044,Getxo,75.0518
48047,Gizaburuaga,11.531678
48042,Gordexola,24.213598
48043,Gorliz,21.268284
48045,Güeñes,49.034912
48048,Ibarrangelu,12.445995
48094,Igorre,13.40816
48049,Ispaster,21.461937
48910,Iurreta,36.71849
48050,Izurtza,20.81315
48022,Karrantza Harana/Valle de Carranza,26.600555
48907,Kortezubi,19.400934
48051,Lanestosa,8.10017
48052,Larrabetzu,29.38291
48053,Laukiz,17.704084
48054,Leioa,90.90706
48057,Lekeitio,18.561728
48055,Lemoa,16.246609
48056,Lemoiz,4.948979
48081,Lezama,38.307693
48903,Loiu,45.340916
48058,Mallabia,5.3544493
48060,Markina-Xemein,25.927454
48061,Maruri-Jatabe,24.03745
48059,Mañaria,25.266745
48062,Mendata,12.872041
48063,Mendexa,10.613011
48064,Meñaka,18.70613
48066,Morga,20.787964
48068,Mundaka,8.22118
48069,Mungia,131.06339
48007,Munitibar-Arbatzegi Gerrikaitz,13.95247
48908,Murueta,13.176567
48071,Muskiz,15.691112
48067,Muxika,40.90502
48909,Nabarniz,9.76783
48073,Ondarroa,23.265097
48075,Orozko,20.596819
48083,Ortuella,45.21055
48072,Otxandio,10.785522
48077,Plentzia,16.49133
48078,Portugalete,30.273094
48082,Santurtzi,36.846554
48084,Sestao,21.699493
48904,Sondika,20.64101
48085,Sopela,28.28944
48086,Sopuerta,69.19114
48076,Sukarrieta,10.277299
48087,Trucios-Turtzioz,10.611832
48088,Ubide,1.3754716
48065,Ugao-Miraballes,22.047897
48089,Urduliz,23.906109
48074,Urduña/Orduña,29.716444
48080,Valle de Trápaga-Trapagaran,32.986706
48095,Zaldibar,13.965855
48096,Zalla,45.27376
48905,Zamudio,32.533737
48097,Zaratamo,24.977549
48024,Zeanuri,22.014097
48025,Zeberio,11.362525
48913,Zierbena,6.93414
48915,Ziortza-Bolibar,9.527964
