CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,25.123796
48002,Abanto y Ciérvana-Abanto Zierbena,47.53513
48911,Ajangiz,7.2707667
48912,Alonsotegi,17.069925
48003,Amorebieta-Etxano,94.33597
48004,Amoroto,1.9460605
48005,Arakaldo,1.135543
48006,Arantzazu,2.6972532
48093,Areatza,8.304439
48009,Arrankudiaga,27.040148
48914,Arratzu,6.2594957
48010,Arrieta,8.680955
48011,Arrigorriaga,22.454557
48023,Artea,6.68846
48008,Artzentales,22.44779
48091,Atxondo,18.084183
48070,Aulesti,11.158335
48012,Bakio,36.452297
48090,Balmaseda,20.411331
48013,Barakaldo,85.389114
48014,Barrika,21.804014
48015,Basauri,29.688475
48092,Bedia,13.2521715
48016,Berango,46.71278
48017,Bermeo,58.239716
48018,Berriatua,17.968323
48019,Berriz,33.234585
48020,Bilbao,0.0
48021,Busturia,38.589767
48901,Derio,29.14747
48026,Dima,19.764786
48027,Durango,29.869123
48028,Ea,13.128817
48031,Elantxobe,2.4677439
48032,Elorrio,23.737627
48902,Erandio,90.51709
48033,Ereño,4.2220135
48034,Ermua,22.759647
48079,Errigoiti,4.4145055
48029,Etxebarri,22.407648
48030,Etxebarria,12.778141
48906,Forua,9.481774
48035,Fruiz,3.6710541
48036,Galdakao,118.167046
48037,Galdames,24.089006
48038,Gamiz-Fika,15.374771
48039,Garai,4.713191
48040,Gatika,23.401394
48041,Gautegiz Arteaga,12.602684
48046,Gernika-Lumo,8.041234
48044,Getxo,114.596794
48047,Gizaburuaga,5.6513424
48042,Gordexola,23.890778
48043,Gorliz,16.208649
48045,Güeñes,46.368412
48048,Ibarrangelu,5.892093
48094,Igorre,13.686188
48049,Ispaster,22.834
48910,Iurreta,23.45443
48050,Izurtza,5.4495187
48022,Karrantza Harana/Valle de Carranza,26.725023
48907,Kortezubi,6.6131396
48051,Lanestosa,12.311249
48052,Larrabetzu,31.52094
48053,Laukiz,11.635144
48054,Leioa,101.029434
48057,Lekeitio,18.23988
48055,Lemoa,21.881947
48056,Lemoiz,2.0191488
48081,Lezama,40.778736
48903,Loiu,45.51076
48058,Mallabia,11.215144
48060,Markina-Xemein,20.366186
48061,Maruri-Jatabe,14.60343
48059,Mañaria,7.1929603
48062,Mendata,2.5292206
48063,Mendexa,11.416238
48064,Meñaka,15.494927
48066,Morga,1.8095844
48068,Mundaka,13.084982
48069,Mungia,119.49202
48007,Munitibar-Arbatzegi Gerrikaitz,13.762301
48908,Murueta,3.0731735
48071,Muskiz,12.966799
48067,Muxika,28.108795
48909,Nabarniz,3.6049576
48073,Ondarroa,24.283455
48075,Orozko,16.533083
48083,Ortuella,28.919884
48072,Otxandio,5.7150383
48077,Plentzia,11.887628
48078,Portugalete,24.562073
48082,Santurtzi,24.524666
48084,Sestao,16.954622
48904,Sondika,21.75443
48085,Sopela,35.760635
48086,Sopuerta,94.59545
48076,Sukarrieta,11.30121
48087,Trucios-Turtzioz,12.3379755
48088,Ubide,0.6631227
48065,Ugao-Miraballes,19.446653
48089,Urduliz,37.110794
48074,Urduña/Orduña,31.644066
48080,Valle de Trápaga-Trapagaran,25.531183
48095,Zaldibar,13.243494
48096,Zalla,72.045784
48905,Zamudio,37.79351
48097,Zaratamo,20.463787
48024,Zeanuri,30.308424
48025,Zeberio,28.119175
48913,Zierbena,16.750713
48915,Ziortza-Bolibar,2.279883
