CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,29.603168
48002,Abanto y Ciérvana-Abanto Zierbena,66.82818
48911,Ajangiz,85.451294
48912,Alonsotegi,7.69829
48003,Amorebieta-Etxano,4.199601
48004,Amoroto,2.6476445
48005,Arakaldo,14.244642
48006,Arantzazu,25.047245
48093,Areatza,20.994038
48009,Arrankudiaga,12.626924
48914,Arratzu,26.80361
48010,Arrieta,47.795456
48011,Arrigorriaga,95.07156
48023,Artea,19.536259
48008,Artzentales,0.8217772
48091,Atxondo,37.28519
48070,Aulesti,53.211254
48012,Bakio,10.348696
48090,Balmaseda,16.793756
48013,Barakaldo,0.18266612
48014,Barrika,35.65809
48015,Basauri,29.934254
48092,Bedia,15.952437
48016,Berango,21.164835
48017,Bermeo,12.747709
48018,Berriatua,41.100273
48019,Berriz,55.326874
48020,Bilbao,0.0
48021,Busturia,12.378858
48901,Derio,12.154834
48026,Dima,7.0348268
48027,Durango,32.28824
48028,Ea,9.004691
48031,Elantxobe,20.33786
48032,Elorrio,6.7791243
48902,Erandio,170.3665
48033,Ereño,21.548237
48034,Ermua,11.77941
48079,Errigoiti,5.9214315
48029,Etxebarri,35.51156
48030,Etxebarria,17.641794
48906,Forua,23.158075
48035,Fruiz,16.65479
48036,Galdakao,76.995186
48037,Galdames,48.095062
48038,Gamiz-Fika,24.666754
48039,Garai,6.390183
48040,Gatika,12.453607
48041,Gautegiz Arteaga,9.715502
48046,Gernika-Lumo,5.174358
48044,Getxo,4.3234572
48047,Gizaburuaga,22.993898
48042,Gordexola,17.2113
48043,Gorliz,89.31114
48045,Güeñes,20.685598
48048,Ibarrangelu,5.1823163
48094,Igorre,19.857037
48049,Ispaster,5.791735
48910,Iurreta,6.907397
48050,Izurtza,11.350168
48022,Karrantza Harana/Valle de Carranza,19.220644
48907,Kortezubi,9.554886
48051,Lanestosa,9.0901985
48052,Larrabetzu,17.020075
48053,Laukiz,23.951227
48054,Leioa,11.683399
48057,Lekeitio,30.686577
48055,Lemoa,6.095345
48056,Lemoiz,108.90299
48081,Lezama,14.814235
48903,Loiu,14.258961
48058,Mallabia,10.697402
48060,Markina-Xemein,22.096146
48061,Maruri-Jatabe,30.56222
48059,Mañaria,28.70151
48062,Mendata,10.116675
48063,Mendexa,12.613758
48064,Meñaka,8.7604885
48066,Morga,15.314949
48068,Mundaka,30.430357
48069,Mungia,28.73688
48007,Munitibar-Arbatzegi Gerrikaitz,8.170356
48908,Murueta,42.23924
48071,Muskiz,0.0
48067,Muxika,32.387512
48909,Nabarniz,75.715546
48073,Ondarroa,14.174617
48075,Orozko,5.978913
48083,Ortuella,25.839676
48072,Otxandio,14.77274
48077,Plentzia,27.673645
48078,Portugalete,16.046385
48082,Santurtzi,10.681967
48084,Sestao,23.082348
48904,Sondika,7.2224245
48085,Sopela,64.978874
48086,Sopuerta,18.932114
48076,Sukarrieta,23.641468
48087,Trucios-Turtzioz,66.28179
48088,Ubide,44.963276
48065,Ugao-Miraballes,15.8102865
48089,Urduliz,30.516033
48074,Urduña/Orduña,8.035521
48080,Valle de Trápaga-Trapagaran,6.0520573
48095,Zaldibar,6.9151506
48096,Zalla,8.682581
48905,Zamudio,23.561468
48097,Zaratamo,18.754185
48024,Zeanuri,16.317022
48025,Zeberio,7.949667
48913,Zierbena,10.358333
48915,Ziortza-Bolibar,6.928628
