CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,29.603168
48002,Abanto y Ciérvana-Abanto Zierbena,66.82818
48911,Ajangiz,18.754185
48912,Alonsotegi,16.317022
48003,Amorebieta-Etxano,85.451294
48004,Amoroto,7.69829
48005,Arakaldo,4.199601
48006,Arantzazu,2.6476445
48093,Areatza,10.681967
48009,Arrankudiaga,20.994038
48914,Arratzu,10.358333
48010,Arrieta,12.626924
48011,Arrigorriaga,26.80361
48023,Artea,15.952437
48008,Artzentales,25.047245
48091,Atxondo,27.673645
48070,Aulesti,14.814235
48012,Bakio,47.795456
48090,Balmaseda,14.77274
48013,Barakaldo,95.07156
48014,Barrika,19.536259
48015,Basauri,0.8217772
48092,Bedia,16.046385
48016,Berango,37.28519
48017,Bermeo,53.211254
48018,Berriatua,10.348696
48019,Berriz,16.793756
48020,Bilbao,0.0
48021,Busturia,35.65809
48901,Derio,23.641468
48026,Dima,41.100273
48027,Durango,55.326874
48028,Ea,21.041382
48031,Elantxobe,7.0348268
48032,Elorrio,32.28824
48902,Erandio,66.28179
48033,Ereño,9.004691
48034,Ermua,20.33786
48079,Errigoiti,15.314949
48029,Etxebarri,12.378858
48030,Etxebarria,12.154834
48906,Forua,8.035521
48035,Fruiz,6.7791243
48036,Galdakao,170.3665
48037,Galdames,21.548237
48038,Gamiz-Fika,11.77941
48039,Garai,5.9214315
48040,Gatika,35.51156
48041,Gautegiz Arteaga,17.641794
48046,Gernika-Lumo,24.666754
48044,Getxo,76.995186
48047,Gizaburuaga,6.390183
48042,Gordexola,23.158075
48043,Gorliz,16.65479
48045,Güeñes,48.095062
48048,Ibarrangelu,12.453607
48094,Igorre,23.082348
48049,Ispaster,9.715502
48910,Iurreta,23.561468
48050,Izurtza,5.174358
48022,Karrantza Harana/Valle de Carranza,29.934254
48907,Kortezubi,6.0520573
48051,Lanestosa,4.3234572
48052,Larrabetzu,22.993898
48053,Laukiz,17.2113
48054,Leioa,89.31114
48057,Lekeitio,19.857037
48055,Lemoa,20.685598
48056,Lemoiz,5.1823163
48081,Lezama,28.73688
48903,Loiu,44.963276
48058,Mallabia,5.791735
48060,Markina-Xemein,11.350168
48061,Maruri-Jatabe,19.220644
48059,Mañaria,6.907397
48062,Mendata,9.554886
48063,Mendexa,9.0901985
48064,Meñaka,17.020075
48066,Morga,11.683399
48068,Mundaka,6.095345
48069,Mungia,108.90299
48007,Munitibar-Arbatzegi Gerrikaitz,14.244642
48908,Murueta,6.9151506
48071,Muskiz,14.258961
48067,Muxika,30.686577
48909,Nabarniz,8.682581
48073,Ondarroa,22.096146
48075,Orozko,28.70151
48083,Ortuella,42.23924
48072,Otxandio,10.697402
48077,Plentzia,12.613758
48078,Portugalete,8.7604885
48082,Santurtzi,8.170356
48084,Sestao,0.0
48904,Sondika,15.8102865
48085,Sopela,32.387512
48086,Sopuerta,75.715546
48076,Sukarrieta,10.116675
48087,Trucios-Turtzioz,14.174617
48088,Ubide,5.978913
48065,Ugao-Miraballes,23.951227
48089,Urduliz,25.839676
48074,Urduña/Orduña,30.56222
48080,Valle de Trápaga-Trapagaran,30.430357
48095,Zaldibar,7.2224245
48096,Zalla,64.978874
48905,Zamudio,30.516033
48097,Zaratamo,18.932114
48024,Zeanuri,21.164835
48025,Zeberio,12.747709
48913,Zierbena,7.949667
48915,Ziortza-Bolibar,6.928628
