CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,19.835697
48002,Abanto y Ciérvana-Abanto Zierbena,48.435326
48911,Ajangiz,12.732885
48912,Alonsotegi,13.80985
48003,Amorebieta-Etxano,95.04822
48004,Amoroto,6.5381994
48005,Arakaldo,4.758335
48006,Arantzazu,5.8398223
48093,Areatza,11.530147
48009,Arrankudiaga,30.060432
48914,Arratzu,15.207467
48010,Arrieta,18.500998
48011,Arrigorriaga,30.975819
48023,Artea,12.23722
48008,Artzentales,25.129549
48091,Atxondo,20.210724
48070,Aulesti,13.602513
48012,Bakio,36.088116
48090,Balmaseda,26.750082
48013,Barakaldo,68.386406
48014,Barrika,24.008608
48015,Basauri,32.78691
48092,Bedia,15.135326
48016,Berango,50.33699
48017,Bermeo,66.99092
48018,Berriatua,17.71423
48019,Berriz,43.83612
48020,Bilbao,0.0
48021,Busturia,46.23134
48901,Derio,31.609959
48026,Dima,14.669244
48027,Durango,25.562458
48028,Ea,20.108498
48031,Elantxobe,8.175121
48032,Elorrio,17.091093
48902,Erandio,70.01371
48033,Ereño,13.514183
48034,Ermua,21.49529
48079,Errigoiti,5.131115
48029,Etxebarri,20.446701
48030,Etxebarria,14.788888
48906,Forua,7.656365
48035,Fruiz,12.600234
48036,Galdakao,109.078026
48037,Galdames,27.880198
48038,Gamiz-Fika,15.175338
48039,Garai,7.905938
48040,Gatika,22.9032
48041,Gautegiz Arteaga,18.083508
48046,Gernika-Lumo,12.859109
48044,Getxo,95.783554
48047,Gizaburuaga,14.413003
48042,Gordexola,18.162933
48043,Gorliz,21.2166
48045,Güeñes,48.268658
48048,Ibarrangelu,8.878522
48094,Igorre,13.045065
48049,Ispaster,27.47727
48910,Iurreta,23.233664
48050,Izurtza,4.3180704
48022,Karrantza Harana/Valle de Carranza,0.0
48907,Kortezubi,9.241994
48051,Lanestosa,0.0
48052,Larrabetzu,30.904467
48053,Laukiz,17.685497
48054,Leioa,79.827034
48057,Lekeitio,19.015457
48055,Lemoa,27.141275
48056,Lemoiz,5.105137
48081,Lezama,47.1865
48903,Loiu,68.72295
48058,Mallabia,11.198888
48060,Markina-Xemein,17.685602
48061,Maruri-Jatabe,22.730316
48059,Mañaria,6.951534
48062,Mendata,3.6258912
48063,Mendexa,16.209467
48064,Meñaka,18.326126
48066,Morga,4.693521
48068,Mundaka,14.560268
48069,Mungia,97.99372
48007,Munitibar-Arbatzegi Gerrikaitz,18.007635
48908,Murueta,7.1159515
48071,Muskiz,1.0
48067,Muxika,31.398027
48909,Nabarniz,10.204571
48073,Ondarroa,21.226206
48075,Orozko,18.667742
48083,Ortuella,34.044758
48072,Otxandio,10.0715685
48077,Plentzia,14.890551
48078,Portugalete,23.90268
48082,Santurtzi,37.304302
48084,Sestao,20.950153
48904,Sondika,21.62998
48085,Sopela,33.84277
48086,Sopuerta,103.58323
48076,Sukarrieta,9.950688
48087,Trucios-Turtzioz,11.909956
48088,Ubide,0.0
48065,Ugao-Miraballes,18.990711
48089,Urduliz,52.27812
48074,Urduña/Orduña,1.0
48080,Valle de Trápaga-Trapagaran,33.837994
48095,Zaldibar,16.950836
48096,Zalla,63.40302
48905,Zamudio,39.2495
48097,Zaratamo,26.071808
48024,Zeanuri,18.16236
48025,Zeberio,26.874157
48913,Zierbena,23.41531
48915,Ziortza-Bolibar,6.4685187
