CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,19.001995
48002,Abanto y Ciérvana-Abanto Zierbena,24.220552
48003,Amorebieta-Etxano,15.946935
48004,Amoroto,21.895988
48005,Arakaldo,24.505226
48006,Arantzazu,28.743507
48007,Munitibar-Arbatzegi Gerrikaitz,42.76578
48008,Artzentales,8.4279785
48009,Arrankudiaga,11.090334
48010,Arrieta,14.577041
48011,Arrigorriaga,21.187073
48012,Bakio,18.208532
48013,Barakaldo,8.337542
48014,Barrika,11.139074
48015,Basauri,14.080184
48016,Berango,8.317484
48017,Bermeo,9.74577
48018,Berriatua,10.937041
48019,Berriz,16.734304
48020,Bilbao,0.0
48021,Busturia,13.534367
48022,Karrantza Harana/Valle de Carranza,30.041466
48023,Artea,13.486045
48024,Zeanuri,19.304974
48025,Zeberio,15.885228
48026,Dima,18.524952
48027,Durango,14.1323
48028,Ea,10.065832
48029,Etxebarri,16.252392
48030,Etxebarria,28.836287
48031,Elantxobe,12.084884
48032,Elorrio,13.25085
48033,Ereño,11.652025
48034,Ermua,16.594795
48035,Fruiz,8.836288
48036,Galdakao,22.979622
48037,Galdames,21.425283
48038,Gamiz-Fika,24.631624
48039,Garai,28.955593
48040,Gatika,32.995136
48041,Gautegiz Arteaga,29.580317
48042,Gordexola,34.13701
48043,Gorliz,42.529114
48044,Getxo,34.966114
48045,Güeñes,39.23741
48046,Gernika-Lumo,38.424126
48047,Gizaburuaga,24.769468
48048,Ibarrangelu,25.411394
48049,Ispaster,56.2075
48050,Izurtza,46.998
48051,Lanestosa,43.53782
48052,Larrabetzu,42.36321
48053,Laukiz,39.074196
48054,Leioa,44.70022
48055,Lemoa,37.75585
48056,Lemoiz,67.39978
48057,Lekeitio,46.710133
48058,Mallabia,49.900913
48059,Mañaria,33.21853
48060,Markina-Xemein,44.004158
48061,Maruri-Jatabe,46.492687
48062,Mendata,34.268646
48063,Mendexa,33.909145
48064,Meñaka,49.395424
48065,Ugao-Miraballes,24.096436
48066,Morga,36.008152
48067,Muxika,38.673923
48068,Mundaka,29.300459
48069,Mungia,33.891457
48070,Aulesti,13.630058
48071,Muskiz,21.27773
48072,Otxandio,46.68179
48073,Ondarroa,46.428555
48074,Urduña/Orduña,13.911097
48075,Orozko,47.140755
48076,Sukarrieta,16.594437
48077,Plentzia,43.98848
48078,Portugalete,30.784218
48079,Errigoiti,21.16108
48080,Valle de Trápaga-Trapagaran,12.167764
48081,Lezama,35.13492
48082,Santurtzi,48.05132
48083,Ortuella,30.17203
48084,Sestao,21.09054
48085,Sopela,18.929302
48086,Sopuerta,29.31321
48087,Trucios-Turtzioz,14.224657
48088,Ubide,26.038284
48089,Urduliz,20.777372
48090,Balmaseda,12.128935
48091,Atxondo,12.258119
48092,Bedia,9.539389
48093,Areatza,21.26806
48094,Igorre,49.64173
48095,Zaldibar,20.357677
48096,Zalla,21.966
48097,Zaratamo,12.467392
48901,Derio,12.800023
48902,Erandio,15.184462
48903,Loiu,26.11735
48904,Sondika,22.016407
48905,Zamudio,15.464466
48906,Forua,13.386264
48907,Kortezubi,42.090855
48908,Murueta,40.742596
48909,Nabarniz,39.680218
48910,Iurreta,61.760185
48911,Ajangiz,24.051802
48912,Alonsotegi,19.723124
48913,Zierbena,21.732132
48914,Arratzu,14.557115
48915,Ziortza-Bolibar,12.430125
