CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,13.500137
48002,Abanto y Ciérvana-Abanto Zierbena,10.902979
48003,Amorebieta-Etxano,6.117321
48004,Amoroto,7.7695665
48005,Arakaldo,7.9057455
48006,Arantzazu,9.639571
48007,Munitibar-Arbatzegi Gerrikaitz,22.882725
48008,Artzentales,7.5244513
48009,Arrankudiaga,10.008792
48010,Arrieta,10.706674
48011,Arrigorriaga,18.18552
48012,Bakio,14.5922
48013,Barakaldo,10.819838
48014,Barrika,10.705018
48015,Basauri,13.081382
48016,Berango,7.9976063
48017,Bermeo,10.291133
48018,Berriatua,10.884452
48019,Berriz,15.474882
48020,Bilbao,0.0
48021,Busturia,12.228805
48022,Karrantza Harana/Valle de Carranza,0.0
48023,Artea,9.933435
48024,Zeanuri,14.932442
48025,Zeberio,14.261494
48026,Dima,16.027683
48027,Durango,10.9184065
48028,Ea,9.401028
48029,Etxebarri,11.528284
48030,Etxebarria,27.256332
48031,Elantxobe,11.860549
48032,Elorrio,10.288905
48033,Ereño,10.037649
48034,Ermua,12.262333
48035,Fruiz,6.4030643
48036,Galdakao,16.964527
48037,Galdames,13.776397
48038,Gamiz-Fika,18.978836
48039,Garai,23.36513
48040,Gatika,23.660398
48041,Gautegiz Arteaga,22.103928
48042,Gordexola,25.084795
48043,Gorliz,21.099966
48044,Getxo,22.80485
48045,Güeñes,28.883194
48046,Gernika-Lumo,28.93155
48047,Gizaburuaga,14.962579
48048,Ibarrangelu,14.760956
48049,Ispaster,41.292034
48050,Izurtza,30.69756
48051,Lanestosa,0.0
48052,Larrabetzu,28.789865
48053,Laukiz,29.275755
48054,Leioa,36.250477
48055,Lemoa,30.703228
48056,Lemoiz,50.014545
48057,Lekeitio,36.134914
48058,Mallabia,34.247387
48059,Mañaria,26.774942
48060,Markina-Xemein,32.300198
48061,Maruri-Jatabe,34.86463
48062,Mendata,24.628399
48063,Mendexa,22.926577
48064,Meñaka,35.313328
48065,Ugao-Miraballes,18.133055
48066,Morga,24.064861
48067,Muxika,26.729647
48068,Mundaka,16.525238
48069,Mungia,24.602362
48070,Aulesti,11.202907
48071,Muskiz,1.0
48072,Otxandio,25.90285
48073,Ondarroa,32.497498
48074,Urduña/Orduña,0.0
48075,Orozko,24.921011
48076,Sukarrieta,9.740985
48077,Plentzia,21.503767
48078,Portugalete,18.693363
48079,Errigoiti,17.465672
48080,Valle de Trápaga-Trapagaran,14.346982
48081,Lezama,25.125317
48082,Santurtzi,25.24217
48083,Ortuella,14.757245
48084,Sestao,19.452063
48085,Sopela,10.469581
48086,Sopuerta,23.024952
48087,Trucios-Turtzioz,9.452882
48088,Ubide,1.0
48089,Urduliz,18.417831
48090,Balmaseda,12.566892
48091,Atxondo,10.699233
48092,Bedia,10.173652
48093,Areatza,9.493283
48094,Igorre,36.792645
48095,Zaldibar,16.700563
48096,Zalla,16.415417
48097,Zaratamo,11.561143
48901,Derio,12.956786
48902,Erandio,12.447517
48903,Loiu,18.542192
48904,Sondika,18.955912
48905,Zamudio,14.660591
48906,Forua,10.612491
48907,Kortezubi,29.523216
48908,Murueta,25.774494
48909,Nabarniz,28.881744
48910,Iurreta,42.493393
48911,Ajangiz,12.384161
48912,Alonsotegi,6.716524
48913,Zierbena,17.55695
48914,Arratzu,14.8211
48915,Ziortza-Bolibar,9.413013
