CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,10.633267
48002,Abanto y Ciérvana-Abanto Zierbena,11.694401
48003,Amorebieta-Etxano,6.8701057
48004,Amoroto,4.3076434
48005,Arakaldo,10.20417
48006,Arantzazu,8.138888
48007,Munitibar-Arbatzegi Gerrikaitz,22.86377
48008,Artzentales,6.0776057
48009,Arrankudiaga,8.052488
48010,Arrieta,10.144534
48011,Arrigorriaga,16.764732
48012,Bakio,13.524162
48013,Barakaldo,10.682064
48014,Barrika,14.508905
48015,Basauri,11.128136
48016,Berango,8.381864
48017,Bermeo,11.086644
48018,Berriatua,11.243195
48019,Berriz,18.622128
48020,Bilbao,0.0
48021,Busturia,11.865767
48022,Karrantza Harana/Valle de Carranza,16.682379
48023,Artea,11.468602
48024,Zeanuri,11.403659
48025,Zeberio,18.900808
48026,Dima,15.043447
48027,Durango,11.69099
48028,Ea,8.111739
48029,Etxebarri,8.212565
48030,Etxebarria,19.913042
48031,Elantxobe,14.152697
48032,Elorrio,9.275227
48033,Ereño,14.041558
48034,Ermua,9.949668
48035,Fruiz,4.828261
48036,Galdakao,14.012975
48037,Galdames,11.670836
48038,Gamiz-Fika,20.527624
48039,Garai,23.29468
48040,Gatika,21.515795
48041,Gautegiz Arteaga,26.865448
48042,Gordexola,29.682728
48043,Gorliz,26.404478
48044,Getxo,28.230053
48045,Güeñes,33.188305
48046,Gernika-Lumo,31.315266
48047,Gizaburuaga,17.631275
48048,Ibarrangelu,22.064732
48049,Ispaster,38.346676
48050,Izurtza,28.271517
48051,Lanestosa,29.119081
48052,Larrabetzu,26.231865
48053,Laukiz,27.379269
48054,Leioa,34.543133
48055,Lemoa,32.783424
48056,Lemoiz,49.47126
48057,Lekeitio,40.514515
48058,Mallabia,34.66509
48059,Mañaria,35.57661
48060,Markina-Xemein,32.7795
48061,Maruri-Jatabe,33.869827
48062,Mendata,24.810583
48063,Mendexa,27.385792
48064,Meñaka,37.871437
48065,Ugao-Miraballes,15.2074585
48066,Morga,28.469826
48067,Muxika,24.214804
48068,Mundaka,20.581396
48069,Mungia,28.508442
48070,Aulesti,10.908985
48071,Muskiz,17.407904
48072,Otxandio,25.867601
48073,Ondarroa,25.440674
48074,Urduña/Orduña,14.588756
48075,Orozko,23.754208
48076,Sukarrieta,19.529797
48077,Plentzia,23.1689
48078,Portugalete,20.304764
48079,Errigoiti,13.847628
48080,Valle de Trápaga-Trapagaran,17.905407
48081,Lezama,26.482958
48082,Santurtzi,30.794231
48083,Ortuella,16.1509
48084,Sestao,22.535742
48085,Sopela,13.3039
48086,Sopuerta,26.305113
48087,Trucios-Turtzioz,11.172662
48088,Ubide,15.036013
48089,Urduliz,22.70029
48090,Balmaseda,12.577178
48091,Atxondo,7.4214783
48092,Bedia,12.10415
48093,Areatza,13.19531
48094,Igorre,29.852745
48095,Zaldibar,20.465992
48096,Zalla,15.355668
48097,Zaratamo,10.732277
48901,Derio,14.794082
48902,Erandio,11.533924
48903,Loiu,17.44471
48904,Sondika,13.45137
48905,Zamudio,16.475702
48906,Forua,12.139156
48907,Kortezubi,30.309147
48908,Murueta,26.787394
48909,Nabarniz,27.736202
48910,Iurreta,39.632793
48911,Ajangiz,10.811398
48912,Alonsotegi,10.102315
48913,Zierbena,18.653585
48914,Arratzu,13.854915
48915,Ziortza-Bolibar,11.035238
