CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,22.007807
48002,Abanto y Ciérvana-Abanto Zierbena,51.548492
48003,Amorebieta-Etxano,66.8535
48004,Amoroto,2.3123448
48005,Arakaldo,5.0815153
48006,Arantzazu,3.229154
48007,Munitibar-Arbatzegi Gerrikaitz,7.6493597
48008,Artzentales,12.349455
48009,Arrankudiaga,16.460312
48010,Arrieta,9.186773
48011,Arrigorriaga,9.707413
48012,Bakio,32.178566
48013,Barakaldo,55.25912
48014,Barrika,11.447545
48015,Basauri,18.7075
48016,Berango,40.113487
48017,Bermeo,40.12391
48018,Berriatua,13.437559
48019,Berriz,22.773626
48020,Bilbao,0.0
48021,Busturia,34.75228
48022,Karrantza Harana/Valle de Carranza,0.0
48023,Artea,15.681147
48024,Zeanuri,16.38468
48025,Zeberio,15.333203
48026,Dima,12.660001
48027,Durango,23.996717
48028,Ea,17.833445
48029,Etxebarri,13.988728
48030,Etxebarria,11.364583
48031,Elantxobe,6.8455443
48032,Elorrio,28.47306
48033,Ereño,10.521585
48034,Ermua,13.320263
48035,Fruiz,6.5645843
48036,Galdakao,124.3944
48037,Galdames,28.85182
48038,Gamiz-Fika,7.14064
48039,Garai,3.602507
48040,Gatika,17.444681
48041,Gautegiz Arteaga,20.389666
48042,Gordexola,12.549694
48043,Gorliz,21.923607
48044,Getxo,80.05671
48045,Güeñes,42.745872
48046,Gernika-Lumo,4.197672
48047,Gizaburuaga,3.8125129
48048,Ibarrangelu,9.727292
48049,Ispaster,13.623857
48050,Izurtza,4.5692368
48051,Lanestosa,0.0
48052,Larrabetzu,22.405584
48053,Laukiz,9.662957
48054,Leioa,56.7365
48055,Lemoa,10.287327
48056,Lemoiz,5.9644675
48057,Lekeitio,7.0684805
48058,Mallabia,8.958215
48059,Mañaria,4.586931
48060,Markina-Xemein,17.681286
48061,Maruri-Jatabe,18.258694
48062,Mendata,3.70372
48063,Mendexa,4.94144
48064,Meñaka,15.044189
48065,Ugao-Miraballes,5.683709
48066,Morga,4.398568
48067,Muxika,21.06377
48068,Mundaka,5.617462
48069,Mungia,105.50038
48070,Aulesti,11.326118
48071,Muskiz,1.0
48072,Otxandio,8.257273
48073,Ondarroa,16.615808
48074,Urduña/Orduña,0.0
48075,Orozko,21.272097
48076,Sukarrieta,14.483278
48077,Plentzia,13.498199
48078,Portugalete,7.5401173
48079,Errigoiti,6.158844
48080,Valle de Trápaga-Trapagaran,19.018238
48081,Lezama,34.054695
48082,Santurtzi,20.296976
48083,Ortuella,29.041668
48084,Sestao,4.366792
48085,Sopela,23.729856
48086,Sopuerta,43.93216
48087,Trucios-Turtzioz,6.614202
48088,Ubide,1.0
48089,Urduliz,27.382149
48090,Balmaseda,5.5823064
48091,Atxondo,10.150549
48092,Bedia,9.018985
48093,Areatza,13.196205
48094,Igorre,25.24385
48095,Zaldibar,11.227899
48096,Zalla,45.454597
48097,Zaratamo,9.798668
48901,Derio,22.546976
48902,Erandio,52.06931
48903,Loiu,34.877235
48904,Sondika,40.28103
48905,Zamudio,28.57278
48906,Forua,10.359712
48907,Kortezubi,7.097809
48908,Murueta,6.4188104
48909,Nabarniz,7.7127833
48910,Iurreta,21.58452
48911,Ajangiz,8.082176
48912,Alonsotegi,21.02448
48913,Zierbena,10.782756
48914,Arratzu,10.852751
48915,Ziortza-Bolibar,6.089956
