CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,30.0
48002,Abanto y Ciérvana-Abanto Zierbena,87.0
48911,Ajangiz,13.0
48912,Alonsotegi,26.0
48003,Amorebieta-Etxano,99.0
48004,Amoroto,8.0
48005,Arakaldo,8.0
48006,Arantzazu,6.0
48093,Areatza,26.0
48009,Arrankudiaga,20.0
48914,Arratzu,8.0
48010,Arrieta,11.0
48011,Arrigorriaga,13.0
48023,Artea,16.0
48008,Artzentales,15.0
48091,Atxondo,21.0
48070,Aulesti,18.0
48012,Bakio,22.0
48090,Balmaseda,1.0
48013,Barakaldo,82.0
48014,Barrika,21.0
48015,Basauri,9.0
48092,Bedia,18.0
48016,Berango,38.0
48017,Bermeo,42.0
48018,Berriatua,11.0
48019,Berriz,25.0
48021,Busturia,19.0
48901,Derio,28.0
48026,Dima,19.0
48027,Durango,18.0
48028,Ea,16.0
48031,Elantxobe,10.0
48032,Elorrio,36.0
48902,Erandio,69.0
48033,Ereño,7.0
48034,Ermua,18.0
48079,Errigoiti,12.0
48029,Etxebarri,15.0
48030,Etxebarria,23.0
48906,Forua,20.0
48035,Fruiz,10.0
48036,Galdakao,125.0
48037,Galdames,19.0
48038,Gamiz-Fika,14.0
48039,Garai,6.0
48040,Gatika,32.0
48041,Gautegiz Arteaga,29.0
48046,Gernika-Lumo,10.0
48044,Getxo,114.0
48047,Gizaburuaga,14.0
48042,Gordexola,8.0
48043,Gorliz,34.0
48045,Güeñes,60.0
48048,Ibarrangelu,10.0
48094,Igorre,17.0
48049,Ispaster,15.0
48910,Iurreta,19.0
48050,Izurtza,6.0
48022,Karrantza Harana/Valle de Carranza,32.0
48907,Kortezubi,10.0
48051,Lanestosa,2.0
48052,Larrabetzu,22.0
48053,Laukiz,14.0
48054,Leioa,82.0
48057,Lekeitio,15.0
48055,Lemoa,17.0
48056,Lemoiz,15.0
48081,Lezama,32.0
48903,Loiu,51.0
48058,Mallabia,15.0
48060,Markina-Xemein,25.0
48061,Maruri-Jatabe,19.0
48059,Mañaria,8.0
48062,Mendata,6.0
48063,Mendexa,10.0
48064,Meñaka,18.0
48066,Morga,7.0
48068,Mundaka,12.0
48069,Mungia,133.0
48007,Munitibar-Arbatzegi Gerrikaitz,13.0
48908,Murueta,4.0
48071,Muskiz,4.0
48067,Muxika,31.0
48909,Nabarniz,7.0
48073,Ondarroa,26.0
48075,Orozko,54.0
48083,Ortuella,18.0
48072,Otxandio,11.0
48077,Plentzia,35.0
48078,Portugalete,17.0
48082,Santurtzi,24.0
48084,Sestao,54.0
48904,Sondika,26.0
48085,Sopela,34.0
48086,Sopuerta,59.0
48076,Sukarrieta,5.0
48087,Trucios-Turtzioz,18.0
48088,Ubide,7.0
48065,Ugao-Miraballes,12.0
48089,Urduliz,26.0
48074,Urduña/Orduña,29.0
48080,Valle de Trápaga-Trapagaran,21.0
48095,Zaldibar,20.0
48096,Zalla,77.0
48905,Zamudio,29.0
48097,Zaratamo,15.0
48024,Zeanuri,18.0
48025,Zeberio,13.0
48913,Zierbena,13.0
48915,Ziortza-Bolibar,7.0
48020,Bilbao,0.0
