CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,23.0
48002,Abanto y Ciérvana-Abanto Zierbena,66.0
48911,Ajangiz,15.0
48912,Alonsotegi,21.0
48003,Amorebieta-Etxano,93.0
48004,Amoroto,11.0
48005,Arakaldo,28.0
48006,Arantzazu,11.0
48093,Areatza,-3.0
48009,Arrankudiaga,56.0
48914,Arratzu,4.0
48010,Arrieta,12.0
48011,Arrigorriaga,2.0
48023,Artea,11.0
48008,Artzentales,45.0
48091,Atxondo,7.0
48070,Aulesti,11.0
48012,Bakio,39.0
48090,Balmaseda,11.0
48013,Barakaldo,101.0
48014,Barrika,8.0
48015,Basauri,32.0
48092,Bedia,42.0
48016,Berango,38.0
48017,Bermeo,52.0
48018,Berriatua,22.0
48019,Berriz,39.0
48021,Busturia,42.0
48901,Derio,36.0
48026,Dima,16.0
48027,Durango,18.0
48028,Ea,18.0
48031,Elantxobe,10.0
48032,Elorrio,30.0
48902,Erandio,75.0
48033,Ereño,1.0
48034,Ermua,5.0
48079,Errigoiti,9.0
48029,Etxebarri,18.0
48030,Etxebarria,12.0
48906,Forua,-1.0
48035,Fruiz,3.0
48036,Galdakao,107.0
48037,Galdames,28.0
48038,Gamiz-Fika,23.0
48039,Garai,12.0
48040,Gatika,21.0
48041,Gautegiz Arteaga,6.0
48046,Gernika-Lumo,25.0
48044,Getxo,101.0
48047,Gizaburuaga,19.0
48042,Gordexola,16.0
48043,Gorliz,26.0
48045,Güeñes,25.0
48048,Ibarrangelu,3.0
48094,Igorre,7.0
48049,Ispaster,36.0
48910,Iurreta,24.0
48050,Izurtza,2.0
48022,Karrantza Harana/Valle de Carranza,6.0
48907,Kortezubi,-3.0
48051,Lanestosa,-1.0
48052,Larrabetzu,38.0
48053,Laukiz,22.0
48054,Leioa,76.0
48057,Lekeitio,10.0
48055,Lemoa,27.0
48056,Lemoiz,6.0
48081,Lezama,40.0
48903,Loiu,52.0
48058,Mallabia,8.0
48060,Markina-Xemein,34.0
48061,Maruri-Jatabe,28.0
48059,Mañaria,0.0
48062,Mendata,3.0
48063,Mendexa,28.0
48064,Meñaka,18.0
48066,Morga,-3.0
48068,Mundaka,12.0
48069,Mungia,113.0
48007,Munitibar-Arbatzegi Gerrikaitz,3.0
48908,Murueta,5.0
48071,Muskiz,-3.0
48067,Muxika,22.0
48909,Nabarniz,5.0
48073,Ondarroa,28.0
48075,Orozko,18.0
48083,Ortuella,13.0
48072,Otxandio,14.0
48077,Plentzia,13.0
48078,Portugalete,23.0
48082,Santurtzi,32.0
48084,Sestao,23.0
48904,Sondika,23.0
48085,Sopela,12.0
48086,Sopuerta,96.0
48076,Sukarrieta,13.0
48087,Trucios-Turtzioz,28.0
48088,Ubide,4.0
48065,Ugao-Miraballes,13.0
48089,Urduliz,26.0
48074,Urduña/Orduña,45.0
48080,Valle de Trápaga-Trapagaran,34.0
48095,Zaldibar,17.0
48096,Zalla,61.0
48905,Zamudio,50.0
48097,Zaratamo,19.0
48024,Zeanuri,31.0
48025,Zeberio,27.0
48913,Zierbena,17.0
48915,Ziortza-Bolibar,4.0
48020,Bilbao,0.0
