CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,16.0
48003,Amorebieta-Etxano,78.0
48004,Amoroto,9.0
48005,Arakaldo,6.0
48006,Arantzazu,6.0
48009,Arrankudiaga,12.0
48011,Arrigorriaga,7.0
48013,Barakaldo,81.0
48015,Basauri,11.0
48017,Bermeo,59.0
48018,Berriatua,12.0
48019,Berriz,25.0
48020,Bilbao,0.0
48021,Busturia,33.0
48023,Artea,14.0
48027,Durango,25.0
48028,Ea,14.0
48029,Etxebarri,16.0
48030,Etxebarria,9.0
48031,Elantxobe,11.0
48032,Elorrio,24.0
48033,Ereño,9.0
48034,Ermua,17.0
48036,Galdakao,178.0
48038,Gamiz-Fika,6.0
48039,Garai,9.0
48041,Gautegiz Arteaga,13.0
48042,Gordexola,18.0
48045,Güeñes,33.0
48046,Gernika-Lumo,11.0
48047,Gizaburuaga,11.0
48048,Ibarrangelu,11.0
48049,Ispaster,20.0
48050,Izurtza,5.0
48052,Larrabetzu,22.0
48054,Leioa,95.0
48055,Lemoa,22.0
48057,Lekeitio,17.0
48058,Mallabia,7.0
48059,Mañaria,6.0
48060,Markina-Xemein,28.0
48062,Mendata,6.0
48063,Mendexa,9.0
48065,Ugao-Miraballes,12.0
48066,Morga,6.0
48067,Muxika,31.0
48068,Mundaka,5.0
48070,Aulesti,10.0
48072,Otxandio,13.0
48073,Ondarroa,17.0
48075,Orozko,19.0
48076,Sukarrieta,10.0
48078,Portugalete,34.0
48079,Errigoiti,8.0
48081,Lezama,29.0
48084,Sestao,7.0
48088,Ubide,0.0
48090,Balmaseda,30.0
48092,Bedia,13.0
48093,Areatza,11.0
48094,Igorre,16.0
48095,Zaldibar,9.0
48097,Zaratamo,19.0
48901,Derio,18.0
48902,Erandio,88.0
48903,Loiu,29.0
48904,Sondika,15.0
48905,Zamudio,38.0
48906,Forua,6.0
48907,Kortezubi,4.0
48908,Murueta,9.0
48909,Nabarniz,9.0
48910,Iurreta,22.0
48911,Ajangiz,13.0
48914,Arratzu,11.0
48915,Ziortza-Bolibar,4.0
48002,Abanto y Ciérvana-Abanto Zierbena,89.0
48007,Munitibar-Arbatzegi Gerrikaitz,13.0
48008,Artzentales,10.0
48012,Bakio,36.0
48014,Barrika,27.0
48016,Berango,39.0
48022,Karrantza Harana/Valle de Carranza,1.0
48024,Zeanuri,22.0
48025,Zeberio,26.0
48026,Dima,19.0
48037,Galdames,38.0
48044,Getxo,77.0
48051,Lanestosa,1.0
48071,Muskiz,0.0
48074,Urduña/Orduña,1.0
48080,Valle de Trápaga-Trapagaran,23.0
48082,Santurtzi,17.0
48083,Ortuella,74.0
48085,Sopela,32.0
48086,Sopuerta,77.0
48087,Trucios-Turtzioz,13.0
48089,Urduliz,35.0
48091,Atxondo,30.0
48912,Alonsotegi,16.0
48913,Zierbena,6.0
48010,Arrieta,13.0
48035,Fruiz,7.0
48040,Gatika,27.0
48043,Gorliz,24.0
48053,Laukiz,25.0
48056,Lemoiz,4.0
48061,Maruri-Jatabe,27.0
48064,Meñaka,19.0
48069,Mungia,124.0
48077,Plentzia,13.0
48096,Zalla,81.0
