CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,21.28934
48002,Abanto y Ciérvana-Abanto Zierbena,41.59075
48003,Amorebieta-Etxano,70.12127
48004,Amoroto,6.939321
48005,Arakaldo,5.5733576
48006,Arantzazu,4.6382194
48007,Munitibar-Arbatzegi Gerrikaitz,9.809014
48008,Artzentales,19.594625
48009,Arrankudiaga,29.001148
48010,Arrieta,13.035299
48011,Arrigorriaga,19.610344
48012,Bakio,35.588852
48013,Barakaldo,57.740273
48014,Barrika,18.537859
48015,Basauri,36.597572
48016,Berango,43.7857
48017,Bermeo,58.30609
48018,Berriatua,20.002577
48019,Berriz,24.468119
48020,Bilbao,0.0
48021,Busturia,31.772028
48022,Karrantza Harana/Valle de Carranza,0.0
48023,Artea,11.920729
48024,Zeanuri,15.919857
48025,Zeberio,19.202908
48026,Dima,15.992951
48027,Durango,36.793003
48028,Ea,19.00366
48029,Etxebarri,20.458775
48030,Etxebarria,22.074884
48031,Elantxobe,5.1611347
48032,Elorrio,30.552124
48033,Ereño,7.4950037
48034,Ermua,26.078577
48035,Fruiz,10.63382
48036,Galdakao,150.01785
48037,Galdames,32.10691
48038,Gamiz-Fika,16.597136
48039,Garai,5.601502
48040,Gatika,31.352518
48041,Gautegiz Arteaga,18.578686
48042,Gordexola,23.873486
48043,Gorliz,24.143406
48044,Getxo,85.099495
48045,Güeñes,48.651985
48046,Gernika-Lumo,32.03094
48047,Gizaburuaga,7.410933
48048,Ibarrangelu,9.421432
48049,Ispaster,15.823677
48050,Izurtza,5.213651
48051,Lanestosa,0.0
48052,Larrabetzu,35.490627
48053,Laukiz,18.810211
48054,Leioa,81.292755
48055,Lemoa,12.319419
48056,Lemoiz,14.153036
48057,Lekeitio,18.493086
48058,Mallabia,14.027649
48059,Mañaria,5.9448767
48060,Markina-Xemein,28.484554
48061,Maruri-Jatabe,23.227413
48062,Mendata,6.029196
48063,Mendexa,10.411101
48064,Meñaka,18.597979
48065,Ugao-Miraballes,15.116852
48066,Morga,7.847362
48067,Muxika,35.653584
48068,Mundaka,20.943499
48069,Mungia,138.20198
48070,Aulesti,14.210325
48071,Muskiz,1.0
48072,Otxandio,11.593801
48073,Ondarroa,24.919294
48074,Urduña/Orduña,0.0
48075,Orozko,29.594887
48076,Sukarrieta,12.53604
48077,Plentzia,18.937912
48078,Portugalete,17.569784
48079,Errigoiti,10.175394
48080,Valle de Trápaga-Trapagaran,42.033466
48081,Lezama,40.03535
48082,Santurtzi,38.082718
48083,Ortuella,44.919827
48084,Sestao,13.53559
48085,Sopela,31.933374
48086,Sopuerta,47.137325
48087,Trucios-Turtzioz,9.554405
48088,Ubide,1.0
48089,Urduliz,27.727654
48090,Balmaseda,16.376888
48091,Atxondo,14.654794
48092,Bedia,10.367747
48093,Areatza,12.415044
48094,Igorre,17.745007
48095,Zaldibar,20.231016
48096,Zalla,61.716156
48097,Zaratamo,17.454016
48901,Derio,28.266045
48902,Erandio,61.058594
48903,Loiu,52.127106
48904,Sondika,32.407528
48905,Zamudio,33.47293
48906,Forua,12.197598
48907,Kortezubi,8.754729
48908,Murueta,4.90637
48909,Nabarniz,7.197558
48910,Iurreta,33.358982
48911,Ajangiz,9.5203705
48912,Alonsotegi,22.616652
48913,Zierbena,13.805048
48914,Arratzu,7.6677656
48915,Ziortza-Bolibar,6.3862276
