CODIGO MUNICIPIO,NOMBRE MUNICIPIO,NIDOS 2020
48001,Abadiño,18.0
48003,Amorebieta-Etxano,76.0
48004,Amoroto,3.0
48005,Arakaldo,2.0
48006,Arantzazu,0.0
48009,Arrankudiaga,20.0
48011,Arrigorriaga,11.0
48013,Barakaldo,63.0
48015,Basauri,24.0
48017,Bermeo,89.0
48018,Berriatua,18.0
48019,Berriz,37.0
48020,Bilbao,-2.0
48021,Busturia,56.0
48023,Artea,18.0
48027,Durango,57.0
48028,Ea,44.0
48029,Etxebarri,9.0
48030,Etxebarria,8.0
48031,Elantxobe,21.0
48032,Elorrio,30.0
48033,Ereño,18.0
48034,Ermua,18.0
48036,Galdakao,154.0
48038,Gamiz-Fika,27.0
48039,Garai,7.0
48041,Gautegiz Arteaga,43.0
48042,Gordexola,17.0
48045,Güeñes,36.0
48046,Gernika-Lumo,9.0
48047,Gizaburuaga,-1.0
48048,Ibarrangelu,20.0
48049,Ispaster,14.0
48050,Izurtza,5.0
48052,Larrabetzu,40.0
48054,Leioa,52.0
48055,Lemoa,12.0
48057,Lekeitio,13.0
48058,Mallabia,14.0
48059,Mañaria,10.0
48060,Markina-Xemein,23.0
48062,Mendata,3.0
48063,Mendexa,11.0
48065,Ugao-Miraballes,9.0
48066,Morga,5.0
48067,Muxika,32.0
48068,Mundaka,24.0
48070,Aulesti,9.0
48072,Otxandio,6.0
48073,Ondarroa,16.0
48075,Orozko,23.0
48076,Sukarrieta,23.0
48078,Portugalete,1.0
48079,Errigoiti,5.0
48081,Lezama,53.0
48084,Sestao,2.0
48088,Ubide,1.0
48090,Balmaseda,13.0
48092,Bedia,7.0
48093,Areatza,22.0
48094,Igorre,37.0
48095,Zaldibar,21.0
48097,Zaratamo,19.0
48901,Derio,47.0
48902,Erandio,52.0
48903,Loiu,11.0
48904,Sondika,9.0
48905,Zamudio,43.0
48906,Forua,24.0
48907,Kortezubi,31.0
48908,Murueta,17.0
48909,Nabarniz,20.0
48910,Iurreta,16.0
48911,Ajangiz,12.0
48914,Arratzu,27.0
48915,Ziortza-Bolibar,4.0
48002,Abanto y Ciérvana-Abanto Zierbena,63.0
48007,Munitibar-Arbatzegi Gerrikaitz,12.0
48008,Artzentales,11.0
48012,Bakio,25.0
48014,Barrika,23.0
48016,Berango,37.0
48022,Karrantza Harana/Valle de Carranza,17.0
48024,Zeanuri,21.0
48025,Zeberio,25.0
48026,Dima,24.0
48037,Galdames,32.0
48044,Getxo,96.0
48051,Lanestosa,-1.0
48071,Muskiz,-1.0
48074,Urduña/Orduña,30.0
48080,Valle de Trápaga-Trapagaran,38.0
48082,Santurtzi,18.0
48083,Ortuella,54.0
48085,Sopela,37.0
48086,Sopuerta,71.0
48087,Trucios-Turtzioz,4.0
48089,Urduliz,37.0
48091,Atxondo,27.0
48912,Alonsotegi,17.0
48913,Zierbena,12.0
48010,Arrieta,8.0
48035,Fruiz,43.0
48040,Gatika,11.0
48043,Gorliz,43.0
48053,Laukiz,11.0
48056,Lemoiz,8.0
48061,Maruri-Jatabe,8.0
48064,Meñaka,-2.0
48069,Mungia,43.0
48077,Plentzia,43.0
48096,Zalla,48.0
