municip_name,municip_code,year_offset,NESTS,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind,population,cluster_size,cluster_cosmo,cluster_survive,cluster_food,cluster_weather_wet,cluster_weather_temp,cluster_weather_wind,cluster_weather_level
Abadiño,48001,2017,54,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,2.0,78.05833333333334,1.114,0.2204999999999999,0.1453810753946167,14.666666666666666,10.833333333333334,117.74166666666667,9.6,63.1,12.52904154880209,13.283333333333331,38.4,26.1,0.8,10.868513597081687,82.10233568250241,40.190008039791934,7522,1,0,0,1,1,0,0,0
Abadiño,48001,2018,22,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,1.0,79.49166666666666,1.212,0.2576666666666667,0.1655940562212032,16.416666666666668,12.583333333333334,128.36666666666665,10.9,71.2,12.519171819260627,13.675000000000002,37.0,26.6,2.2,11.036586551502388,76.64277191449939,40.3020920075348,7533,1,0,0,1,1,0,0,0
Abanto y Ciérvana-Abanto Zierbena,48002,2017,92,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C061,0.8333333333333334,83.03333333333333,1.1013343254950465,0.3453929325952571,0.1766345181487057,14.666666666666666,11.083333333333334,114.88333333333334,6.6,74.9,11.183333333333332,13.433333333333335,34.1,23.6,2.9,11.54166666666667,142.9,59.4,9543,2,1,1,1,1,0,1,0
Abanto y Ciérvana-Abanto Zierbena,48002,2018,47,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C061,0.4166666666666667,82.12777822334557,1.0652562392654708,0.3314390282343716,0.1816290516688921,15.916666666666666,12.75,111.73333333333332,12.3,43.3,12.086274485615856,13.7,36.0,24.8,3.0,12.816666666666668,118.1,70.7,9545,2,1,1,1,1,0,1,0
Ajangiz,48911,2017,19,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C063,2.083333333333333,80.775,1.484,0.2165833333333333,0.1410587433502921,14.416666666666666,10.833333333333334,114.78333333333336,9.7,47.0,12.526742878641189,14.033333333333331,37.8,25.6,2.0,11.07345025394443,80.26314820906147,40.28750221208679,474,0,0,0,1,1,0,0,0
Ajangiz,48911,2018,12,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C063,1.25,81.825,3.99,0.2653333333333333,0.1685374376271249,16.75,12.5,131.075,8.8,80.2,12.518818027147644,14.091666666666669,36.3,26.3,2.3,11.218443615997373,75.40673408799904,40.38838718039932,482,0,0,0,1,1,0,0,0
Alonsotegi,48912,2017,26,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C0C4,1.0075710770553412,80.0185091069202,1.669,0.35975,0.1842255125798602,15.18199863407346,11.221666347426403,110.58534650660933,3.4289565208195545,29.828186386866104,12.544779780343193,12.969818421807044,26.722881211923816,18.224141141235187,8.39614702359015,11.086671896789056,74.898141424968,40.183609933415084,2900,0,0,0,1,0,1,0,0
Alonsotegi,48912,2018,16,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C0C4,1.0075710770553412,80.0185091069202,1.635,0.4379166666666665,0.1797208858303496,15.18199863407346,11.221666347426403,110.58534650660933,3.4289565208195545,29.828186386866104,12.544779780343193,12.969818421807044,26.722881211923816,18.224141141235187,8.39614702359015,11.086671896789056,74.898141424968,40.183609933415084,2903,0,0,0,1,0,1,0,0
Amorebieta-Etxano,48003,2017,125,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,1.5833333333333333,80.8,2.734,0.4208333333333333,0.1753487771888412,13.916666666666666,10.75,116.625,5.5,54.2,12.534819982429989,13.575,38.4,25.4,0.6,11.087579107134554,80.84788955806114,40.27864096407943,18955,4,1,1,0,1,0,0,0
Amorebieta-Etxano,48003,2018,79,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,0.75,83.48333333333332,3.564,0.51325,0.1908004567877291,16.833333333333332,12.583333333333334,129.03333333333336,11.2,75.8,12.539515239153504,13.7,38.4,25.8,2.3,11.240879186578892,79.58182250145936,40.281935061733705,19140,4,1,1,0,1,0,0,0
Amoroto,48004,2017,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,0.75,83.71666666666667,2.32,0.2411666666666666,0.1576278079182824,14.166666666666666,10.666666666666666,113.22500000000002,8.8,46.0,12.56179068704233,14.133333333333333,37.0,24.4,2.8,11.453443645292923,79.74821822079434,40.30916617186383,425,0,0,0,1,1,0,0,0
Amoroto,48004,2018,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,0.3333333333333333,83.825,1.812,0.2950833333333333,0.1740236830743718,17.5,13.0,126.33333333333336,20.1,60.5,12.53107552911221,14.516666666666664,32.5,25.4,3.7,11.430960359565054,76.06973915736587,40.411125576151065,419,0,0,0,1,1,0,0,0
