municip_code,year,IMD
48001,2019,55890.0
48001,2017,64286.0
48001,2018,35213.0
48020,2017,844358.0
48002,2017,32623.0
48002,2019,21601.0
48015,2017,77149.0
48002,2018,34388.0
48911,2017,1261.0
48912,2017,49141.0
48911,2019,1291.0
48013,2017,572345.0
48911,2018,133.0
48003,2017,65121.0
48912,2019,50377.0
48004,2017,6720.0
48912,2018,48035.0
48083,2017,123860.0
48005,2017,360.0
48003,2019,89075.0
48006,2017,10457.0
48003,2018,90036.0
48071,2017,123886.0
48009,2017,25651.0
48004,2019,6865.0
48902,2017,631493.0
48004,2018,7023.0
48914,2017,3535.0
48084,2017,47489.0
48005,2019,381.0
48010,2017,2714.0
48005,2018,367.0
48078,2017,54601.0
48011,2017,72243.0
48006,2019,10343.0
48082,2017,65354.0
48006,2018,10498.0
48023,2017,13813.0
48008,2017,13151.0
48045,2017,36728.0
48070,2017,2143.0
48009,2019,25347.0
48042,2017,27757.0
48009,2018,25551.0
48012,2017,678.0
48090,2017,19401.0
48914,2019,3375.0
48914,2018,3500.0
48014,2017,27579.0
48086,2017,8211.0
48010,2019,2774.0
48087,2017,1382.0
48010,2018,2707.0
48016,2017,36493.0
48022,2017,11431.0
48011,2019,75562.0
48017,2017,12659.0
48011,2018,75731.0
48051,2017,2633.0
48037,2017,6076.0
48023,2019,13586.0
48019,2017,44703.0
48023,2018,10349.0
48054,2017,301422.0
48021,2017,14528.0
48008,2019,12939.0
48904,2017,104233.0
48008,2018,13185.0
48901,2017,126797.0
48903,2017,39538.0
48091,2019,11626.0
48026,2017,7402.0
48091,2018,10884.0
48044,2017,124216.0
48091,2017,10158.0
48028,2017,523.0
48070,2019,2132.0
48085,2017,25517.0
48070,2018,2114.0
48031,2017,835.0
48032,2017,31848.0
48012,2019,772.0
48043,2017,20594.0
48012,2018,690.0
48056,2017,11295.0
48033,2017,1716.0
48090,2019,1727.0
48053,2017,4926.0
48090,2018,19844.0
48034,2017,11788.0
48089,2017,12016.0
48013,2019,620351.0
48079,2017,2105.0
48013,2018,487240.0
48040,2017,8483.0
48029,2017,368.0
48014,2019,25935.0
48036,2017,112414.0
48014,2018,27097.0
48030,2017,8984.0
48015,2019,79063.0
48906,2017,10208.0
48015,2018,77024.0
48035,2017,542.0
48069,2017,139326.0
