municipalities,muni_code,year,population
48001 Abadiño,48001,2018,7533
48001 Abadiño,48001,2017,7522
48002 Abanto y Ciérvana-Abanto Zierbena,48002,2018,9545
48002 Abanto y Ciérvana-Abanto Zierbena,48002,2017,9543
48911 Ajangiz,48911,2018,482
48911 Ajangiz,48911,2017,474
48912 Alonsotegi,48912,2018,2903
48912 Alonsotegi,48912,2017,29
48003 Amorebieta-Etxano,48003,2018,1914
48003 Amorebieta-Etxano,48003,2017,18955
48004 Amoroto,48004,2018,419
48004 Amoroto,48004,2017,425
48005 Arakaldo,48005,2018,156
48005 Arakaldo,48005,2017,159
48006 Arantzazu,48006,2018,393
48006 Arantzazu,48006,2017,411
48093 Areatza,48093,2018,1212
48093 Areatza,48093,2017,1196
48009 Arrankudiaga,48009,2018,970
48009 Arrankudiaga,48009,2017,960
48914 Arratzu,48914,2018,418
48914 Arratzu,48914,2017,402
48010 Arrieta,48010,2018,567
48010 Arrieta,48010,2017,564
48011 Arrigorriaga,48011,2018,1223
48011 Arrigorriaga,48011,2017,12265
48023 Artea,48023,2018,735
48023 Artea,48023,2017,749
48008 Artzentales,48008,2018,734
48008 Artzentales,48008,2017,741
48091 Atxondo,48091,2018,1377
48091 Atxondo,48091,2017,137
48070 Aulesti,48070,2018,648
48070 Aulesti,48070,2017,658
48012 Bakio,48012,2018,2645
48012 Bakio,48012,2017,264
48090 Balmaseda,48090,2018,7684
48090 Balmaseda,48090,2017,7739
48013 Barakaldo,48013,2018,100435
48013 Barakaldo,48013,2017,100313
48014 Barrika,48014,2018,1541
48014 Barrika,48014,2017,1525
48015 Basauri,48015,2018,40762
48015 Basauri,48015,2017,40877
48092 Bedia,48092,2018,1041
48092 Bedia,48092,2017,1039
48016 Berango,48016,2018,713
48016 Berango,48016,2017,7065
48017 Bermeo,48017,2018,16688
48017 Bermeo,48017,2017,16777
48018 Berriatua,48018,2018,1247
48018 Berriatua,48018,2017,1241
48019 Berriz,48019,2018,4678
48019 Berriz,48019,2017,4695
48020 Bilbao,48020,2018,345821
48020 Bilbao,48020,2017,34511
48021 Busturia,48021,2018,1637
48021 Busturia,48021,2017,1676
48901 Derio,48901,2018,6545
48901 Derio,48901,2017,6404
48026 Dima,48026,2018,1447
48026 Dima,48026,2017,146
48027 Durango,48027,2018,29636
48027 Durango,48027,2017,29328
48028 Ea,48028,2018,831
48028 Ea,48028,2017,836
48031 Elantxobe,48031,2018,346
48031 Elantxobe,48031,2017,363
48032 Elorrio,48032,2018,7336
48032 Elorrio,48032,2017,7307
48902 Erandio,48902,2018,24222
48902 Erandio,48902,2017,24056
48033 Ereño,48033,2018,239
48033 Ereño,48033,2017,248
48034 Ermua,48034,2018,1589
48034 Ermua,48034,2017,15951
48079 Errigoiti,48079,2018,487
48079 Errigoiti,48079,2017,502
48029 Etxebarri,48029,2018,11304
48029 Etxebarri,48029,2017,11176
48030 Etxebarria,48030,2018,772
48030 Etxebarria,48030,2017,748
48906 Forua,48906,2018,929
48906 Forua,48906,2017,938
48035 Fruiz,48035,2018,545
48035 Fruiz,48035,2017,546
48036 Galdakao,48036,2018,29288
48036 Galdakao,48036,2017,29334
48037 Galdames,48037,2018,829
48037 Galdames,48037,2017,812
48038 Gamiz-Fika,48038,2018,1375
48038 Gamiz-Fika,48038,2017,1361
48039 Garai,48039,2018,320
48039 Garai,48039,2017,308
48040 Gatika,48040,2018,1673
48040 Gatika,48040,2017,1672
48041 Gautegiz Arteaga,48041,2018,840
