waspbust_id,year_x,nest_foundDate,municip_name,species,nest_locType,nest_hight,nest_diameter,nest_longitude,nest_latitude,nest_status,nest_judgementDate,municip_code,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,month,year_offset,index,MMM,year_y,station_name,code_merge,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
1,2019,2019-07-06 00:00:00,Abadiño,Vespa Velutina,Urban Environment,0.0,1.0,"532124,0816","4777436,519",Nest Terminated,2019-06-15 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,2018.0,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0.0,93.1,0.9270746320000001,0.41651452899999997,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0
2,2019,2019-03-25 00:00:00,Abadiño,Vespa Velutina,Urban Environment,8.0,10.0,"531000,5783","4779715,773",Nest Terminated,2019-03-25 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,3,2018,1086.0,MAR,2018.0,Urkiola,C022_Urkiola_2018_MAR,C022_Urkiola_2018_MAR,10.0,82.4,0.919007778,0.336061281,0.218926759,24.0,18.0,160.0,1.5,19.7,9.3,5.2,13.9,9.0,2.0,13.9,82.4,53.2
3,2019,2019-08-07 00:00:00,Abadiño,Common Wasp,Urban Environment,2.0,2.0,"532159,4404","4779313,024",Nest Terminated,2019-09-07 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
4,2019,2019-07-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,20.0,"532457,6901","4777072,989",Nest Terminated,2019-07-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2018,2722.0,JUL,2018.0,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0.0,93.1,0.9270746320000001,0.41651452899999997,0.194795993,21.0,11.0,73.7,7.4,18.8,16.4,17.0,25.5,21.3,13.6,4.9,36.7,24.0
5,2019,2019-06-08 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,30.0,"531388,7069","4777964,231",Nest Terminated,2019-06-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,6,2018,2313.0,JUN,2018.0,Urkiola,C022_Urkiola_2018_JUN,C022_Urkiola_2018_JUN,0.0,91.1,0.9057329040000001,0.371786921,0.198000609,20.0,14.0,82.2,6.7,14.0,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4
6,2019,2019-08-22 00:00:00,Abadiño,Common Wasp,Natural Environment,3.0,30.0,"531399,8838","4777566,585",Nest Terminated,2019-08-22 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
7,2019,2019-08-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,10.0,30.0,"531328,0271","4774608,062",Nest Terminated,2019-08-27 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2018,3131.0,AGO,2018.0,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0.0,89.3,0.907256657,0.309321306,0.19194624300000002,13.0,8.0,33.0,0.8,12.7,17.8,17.0,31.5,22.0,13.0,5.2,42.1,25.8
8,2019,2019-09-20 00:00:00,Abadiño,Vespa Velutina,Urban Environment,2.0,10.0,"532071,9075","4777400,603",Nest Terminated,2019-09-20 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2018,3540.0,SET,2018.0,Urkiola,C022_Urkiola_2018_SET,C022_Urkiola_2018_SET,0.0,87.4,0.817383387,0.306335255,0.20496536199999998,9.0,6.0,38.1,1.9,13.6,15.5,16.0,28.9,21.8,11.9,6.5,60.5,27.8
9,2019,2019-10-21 00:00:00,Abadiño,Vespa Velutina,Natural Environment,0.0,30.0,"533791,3865","4778018,01",Nest Terminated,2019-10-22 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2018,3949.0,OCT,2018.0,Urkiola,C022_Urkiola_2018_OCT,C022_Urkiola_2018_OCT,3.0,90.1,0.869863952,0.31064307399999996,0.195187837,13.0,11.0,153.5,5.3,31.5,8.7,10.4,23.5,14.4,7.1,9.1,82.8,37.5
10,2019,2019-04-11 00:00:00,Abadiño,Vespa Velutina,Urban Environment,1.0,1.0,"531611,7723","4778186,07",Nest Terminated,2019-04-11 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,4,2018,1495.0,ABR,2018.0,Urkiola,C022_Urkiola_2018_ABR,C022_Urkiola_2018_ABR,1.0,81.4,0.9684206670000001,0.37862901600000004,0.199770145,21.0,14.0,194.9,1.9,71.3,12.9,9.4,23.3,13.9,5.9,12.0,76.7,42.4
11,2018,2018-09-27 00:00:00,Abadiño,Vespa Velutina,Natural Environment,3.0,30.0,"531216,6956","4779313,656",Nest Terminated,2018-09-27 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
12,2018,2018-09-24 00:00:00,Abadiño,Vespa Velutina,Natural Environment,5.0,15.0,"531307,698","4774559,689",Nest Terminated,2018-09-24 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,9,2017,3436.0,SET,2017.0,Urkiola,C022_Urkiola_2017_SET,C022_Urkiola_2017_SET,0.0,88.6,0.910431623,0.328069798,0.20153439899999998,16.0,12.0,120.1,2.5,32.4,12.5,12.8,25.8,17.3,8.9,6.1,60.5,30.4
13,2018,2018-08-23 00:00:00,Abadiño,Vespa Velutina,Urban Environment,6.0,1.0,"531609,1147","4777746,203",Nest Terminated,2018-08-23 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,2017.0,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4
14,2018,2018-08-21 00:00:00,Abadiño,Common Wasp,Urban Environment,13.0,60.0,"529949,4021","4775421,649",Nest Terminated,2018-08-21 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,2017.0,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4
15,2018,2018-08-17 00:00:00,Abadiño,Vespa Velutina,Urban Environment,4.0,50.0,"531297,3589","4774535,309",Nest Terminated,2018-08-17 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,2017.0,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4
16,2018,2018-08-16 00:00:00,Abadiño,Vespa Velutina,Urban Environment,15.0,100.0,"532079,6868","4777377,036",Nest Terminated,2018-08-16 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,2017.0,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4
17,2018,2018-10-08 00:00:00,Abadiño,Vespa Velutina,Urban Environment,5.0,15.0,"531149,7891","4778093,041",Nest Terminated,2018-08-13 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,10,2017,3845.0,OCT,2017.0,Urkiola,C022_Urkiola_2017_OCT,C022_Urkiola_2017_OCT,0.0,84.9,0.852602902,0.309591708,0.196137505,14.0,8.0,32.1,1.3,8.1,10.1,12.4,25.6,17.7,8.1,8.5,54.4,30.8
18,2018,2018-08-08 00:00:00,Abadiño,Wild Bee,Urban Environment,8.0,10.0,"532227,8313","4777162,254",Nest Terminated,2018-08-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,8,2017,3027.0,AGO,2017.0,Urkiola,C022_Urkiola_2017_AGO,C022_Urkiola_2017_AGO,0.0,86.9,0.935256722,0.367281276,0.192827396,19.0,11.0,74.5,2.6,20.6,16.7,16.0,30.0,21.2,11.9,6.8,52.2,29.4
19,2018,2018-07-08 00:00:00,Abadiño,Vespa Velutina,Urban Environment,12.0,30.0,"532794,4767","4776451,706",Nest Terminated,2018-07-08 00:00:00,48001.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C022,7,2017,2618.0,JUL,2017.0,Urkiola,C022_Urkiola_2017_JUL,C022_Urkiola_2017_JUL,0.0,86.3,0.9499286579999999,0.36303303,0.18940599600000002,19.0,11.0,68.9,2.6,18.8,17.5,15.8,31.3,20.5,11.8,6.7,67.3,30.0
