waspbust_id,nest_foundDate,municip_name,species,nest_locType,nest_hight,nest_diameter,nest_longitude,nest_latitude,nest_status,nest_judgementDate,municip_code,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,month,year_offset,index,MMM,year,station_name,code_merge,merge_cod,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind
1,7/6/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,0,1,"5,321,240,816","4,777,436,519",CERRADA - ELIMINADO,6/15/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2018,2722,JUL,2018,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0,93.1,0.927074632,0.416514529,0.194795993,21,11,73.7,7.4,18.8,16.4,17,25.5,21.3,13.6,4.9,36.7,24
2,3/25/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,8,10,"5,310,005,783","4,779,715,773",CERRADA - ELIMINADO,3/25/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,3,2018,1086,MAR,2018,Urkiola,C022_Urkiola_2018_MAR,C022_Urkiola_2018_MAR,10,82.4,0.919007778,0.336061281,0.218926759,24,18,160,1.5,19.7,9.3,5.2,13.9,9,2,13.9,82.4,53.2
3,8/7/2019 0:00,Abadiño,AVISPA COMÚN,CONSTRUCCIÓN,2,2,"5,321,594,404","4,779,313,024",CERRADA - ELIMINADO,9/7/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
4,7/20/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,4,20,"5,324,576,901","4,777,072,989",CERRADA - ELIMINADO,7/20/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,7,2018,2722,JUL,2018,Urkiola,C022_Urkiola_2018_JUL,C022_Urkiola_2018_JUL,0,93.1,0.927074632,0.416514529,0.194795993,21,11,73.7,7.4,18.8,16.4,17,25.5,21.3,13.6,4.9,36.7,24
5,6/8/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,10,30,"5,313,887,069","4,777,964,231",CERRADA - ELIMINADO,6/8/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,6,2018,2313,JUN,2018,Urkiola,C022_Urkiola_2018_JUN,C022_Urkiola_2018_JUN,0,91.1,0.905732904,0.371786921,0.198000609,20,14,82.2,6.7,14,15.6,14.3,25.8,18.5,10.6,5.7,58.3,26.4
6,8/22/2019 0:00,Abadiño,AVISPA COMÚN,ARBOLADO,3,30,"5,313,998,838","4,777,566,585",CERRADA - ELIMINADO,8/22/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
7,8/27/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,10,30,"5,313,280,271","4,774,608,062",CERRADA - ELIMINADO,8/27/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,8,2018,3131,AGO,2018,Urkiola,C022_Urkiola_2018_AGO,C022_Urkiola_2018_AGO,0,89.3,0.907256657,0.309321306,0.191946243,13,8,33,0.8,12.7,17.8,17,31.5,22,13,5.2,42.1,25.8
8,9/20/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,2,10,"5,320,719,075","4,777,400,603",CERRADA - ELIMINADO,9/20/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,9,2018,3540,SET,2018,Urkiola,C022_Urkiola_2018_SET,C022_Urkiola_2018_SET,0,87.4,0.817383387,0.306335255,0.204965362,9,6,38.1,1.9,13.6,15.5,16,28.9,21.8,11.9,6.5,60.5,27.8
9,10/21/2019 0:00,Abadiño,AVISPA ASIÁTICA,ARBOLADO,0,30,"5,337,913,865","4778018,01",CERRADA - ELIMINADO,10/22/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,10,2018,3949,OCT,2018,Urkiola,C022_Urkiola_2018_OCT,C022_Urkiola_2018_OCT,3,90.1,0.869863952,0.310643074,0.195187837,13,11,153.5,5.3,31.5,8.7,10.4,23.5,14.4,7.1,9.1,82.8,37.5
10,4/11/2019 0:00,Abadiño,AVISPA ASIÁTICA,CONSTRUCCIÓN,1,1,"5,316,117,723","4778186,07",CERRADA - ELIMINADO,4/11/2019 0:00,48001,160,0,0,0,0,0,0,0,C022,4,2018,1495,ABR,2018,Urkiola,C022_Urkiola_2018_ABR,C022_Urkiola_2018_ABR,1,81.4,0.968420667,0.378629016,0.199770145,21,14,194.9,1.9,71.3,12.9,9.4,23.3,13.9,5.9,12,76.7,42.4
