municip_code,year,population
48001,2020,7.658
48001,2019,7.599
48001,2018,7.533
48002,2020,9.471
48002,2019,9.444
48002,2018,9.545
48911,2020,464
48911,2019,477
48911,2018,482
48912,2020,2.879
48912,2019,2.907
48912,2018,2.903
48003,2020,19.529
48003,2019,19.339
48003,2018,19.14
48004,2020,416
48004,2019,410
48004,2018,419
48005,2020,165
48005,2019,159
48005,2018,156
48006,2020,408
48006,2019,395
48006,2018,393
48093,2020,1.216
48093,2019,1.201
48093,2018,1.212
48009,2020,965
48009,2019,968
48009,2018,970
48914,2020,413
48914,2019,418
48914,2018,418
48010,2020,580
48010,2019,586
48010,2018,567
48011,2020,12.225
48011,2019,12.16
48011,2018,12.23
48023,2020,733
48023,2019,736
48023,2018,735
48008,2020,699
48008,2019,721
48008,2018,734
48091,2020,1.335
48091,2019,1.366
48091,2018,1.377
48070,2020,657
48070,2019,654
48070,2018,648
48012,2020,2.676
48012,2019,2.688
48012,2018,2.645
48090,2020,7.722
48090,2019,7.697
48090,2018,7.684
48013,2020,101.486
48013,2019,100.881
48013,2018,100.435
48014,2020,1.533
48014,2019,1.529
48014,2018,1.541
48015,2020,40.847
48015,2019,40.589
48015,2018,40.762
48092,2020,1.061
48092,2019,1.067
48092,2018,1.041
48016,2020,7.217
48016,2019,7.195
48016,2018,7.13
48017,2020,16.864
48017,2019,16.765
48017,2018,16.688
48018,2020,1.251
48018,2019,1.245
48018,2018,1.247
48019,2020,4.58
48019,2019,4.623
48019,2018,4.678
48020,2020,350.184
48020,2019,346.843
48020,2018,345.821
48021,2020,1.632
48021,2019,1.616
48021,2018,1.637
48901,2020,6.73
48901,2019,6.631
48901,2018,6.545
48026,2020,1.448
48026,2019,1.436
48026,2018,1.447
48027,2020,30.118
48027,2019,29.791
48027,2018,29.636
48028,2020,808
48028,2019,823
48028,2018,831
48031,2020,347
48031,2019,350
48031,2018,346
48032,2020,7.375
48032,2019,7.372
48032,2018,7.336
48902,2020,24.53
48902,2019,24.35
48902,2018,24.222
48033,2020,260
48033,2019,245
48033,2018,239
48034,2020,15.847
48034,2019,15.88
48034,2018,15.89
48079,2020,486
48079,2019,479
48079,2018,487
48029,2020,11.691
48029,2019,11.563
48029,2018,11.304
48030,2020,782
48030,2019,788
48030,2018,772
48906,2020,907
48906,2019,920
48906,2018,929
48035,2020,552
48035,2019,536
48035,2018,545
48036,2020,29.427
48036,2019,29.326
48036,2018,29.288
48037,2020,838
48037,2019,831
48037,2018,829
48038,2020,1.362
48038,2019,1.379
48038,2018,1.375
48039,2020,325
48039,2019,327
48039,2018,320
48040,2020,1.665
48040,2019,1.663
48040,2018,1.673
48041,2020,808
48041,2019,836
48041,2018,840
48046,2020,17.105
48046,2019,17.016
48046,2018,16.972
48044,2020,77.77
48044,2019,77.946
48044,2018,78.276
48047,2020,197
48047,2019,208
48047,2018,212
48042,2020,1.697
48042,2019,1.71
48042,2018,1.686
48043,2020,5.891
48043,2019,5.785
48043,2018,5.683
48045,2020,6.736
48045,2019,6.734
48045,2018,6.681
48048,2020,629
48048,2019,632
48048,2018,636
48094,2020,4.337
48094,2019,4.284
48094,2018,4.257
48049,2020,729
48049,2019,735
48049,2018,725
48910,2020,3.665
48910,2019,3.662
48910,2018,3.643
48050,2020,252
48050,2019,255
48050,2018,255
48022,2020,2.803
48022,2019,2.778
48022,2018,2.715
48907,2020,442
48907,2019,441
48907,2018,444
48051,2020,253
